Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
0,121,206,16
1,99,116,104
2,97,137,86
3,8,125,215
4,64,140,118
5,127,141,56
6,97,195,43
7,101,128,90
8,118,137,68
9,94,122,103
10,103,119,96
11,97,114,107
12,99,99,121
13,93,112,114
14,114,98,107
15,113,90,116
16,67,43,241
17,91,98,132
18,111,110,97
19,102,125,92
20,99,96,124
21,141,58,125
22,137,113,72
23,125,120,76
24,100,102,116
25,110,99,109
26,103,118,97
27,65,156,103
28,97,125,97
29,139,85,97
30,150,94,79
31,117,105,96
32,146,4,195
33,121,117,82
34,124,87,108
35,134,84,102
36,81,148,93
37,136,123,64
38,160,91,74
39,90,91,140
40,89,126,104
41,109,114,96
42,131,94,95
43,142,75,104
44,90,118,111
45,77,119,124
46,99,94,126
47,100,113,105
48,4,158,183
49,87,131,101
50,107,97,115
51,255,74,29
52,191,70,71
53,69,60,208
54,118,0,241
55,94,94,132
56,124,109,87
57,114,95,109
58,117,102,101
59,86,107,126
60,119,98,102
61,103,115,100
62,93,130,97
63,99,123,97
