,0 pi,2/3 pi,4/3 pi
0,1054100.6243058397,1045885.0248388757,1045764.1276692515
1,1054384.3955480263,1045746.5556996958,1045621.1168005271
2,1054637.6133772994,1045623.7476655823,1045492.8480956429
3,1054856.100614063,1045517.8198819793,1045382.2091605228
4,1055035.381091566,1045430.9255712104,1045291.4494419197
5,1055171.700151997,1045364.8690922529,1045222.4540539184
6,1055262.1530361718,1045321.0452946343,1045176.6803351134
7,1055304.7905267382,1045300.3897392959,1045155.1056223596
8,1055298.6832632034,1045303.3483172075,1045158.1958206074
9,1055243.9651914742,1045329.8567224728,1045185.8838272453
10,1055141.823246037,1045379.3454945135,1045237.5745742873
11,1054994.4558710922,1045450.7593543666,1045312.1655882277
12,1054804.9880945967,1045542.5974273632,1045408.0887858741
13,1054577.378158832,1045652.9570425522,1045523.356371302
14,1054316.248034577,1045779.6142763621,1045655.6450502096
15,1054026.6336956425,1045912.1271270327,1045810.4364098399
16,1054383.0397765716,1045778.9326867042,1045590.0891056545
17,1054682.7378445803,1045538.3340753308,1045533.5241897865
18,1054947.8577174116,1045478.17954965,1045330.9197796597
19,1055178.7022652626,1045295.3297690155,1045285.0522597164
20,1055367.2147504697,1045196.8352421896,1045196.8316347514
21,1055510.5500017453,1045125.8678114719,1045125.8641280197
22,1055605.6107803865,1045089.6217710228,1045067.9942474089
23,1055591.332856314,1045616.8633904741,1044555.1555816972
24,1055597.1243746497,1045534.02670691,1044632.184009733
25,1055586.5294992481,1045090.9900516742,1045085.5164809066
26,1055479.1322441506,1045144.0943646191,1045138.7459130209
27,1055324.1777969976,1045223.3963402687,1045212.8927482524
28,1055124.9676595079,1045319.3774980402,1045314.2360116306
29,1054885.6408580984,1045440.2856471797,1045430.4636174826
30,1054611.0528433253,1045585.2097145172,1045557.7138690437
31,1054305.544884746,1045799.9260172088,1045645.9509938641
32,1054631.2927426267,1045737.1260923644,1045385.7610372539
33,1054929.3646727125,1045793.4405377832,1045034.1161752869
34,1055222.165189288,1045467.8259063993,1045069.540802147
35,1055464.4436302227,1045252.3992325317,1045044.9956894664
36,1055662.28436769,1045125.5073815449,1044976.0095800096
37,1055811.8536100087,1045055.8822054256,1044897.5905388299
38,1055910.8657312172,1045030.6437888244,1044824.8474806729
39,1054995.5835162348,1048271.5675623019,1042498.1582950453
40,1055912.3081249944,1045393.547809817,1044460.7128058849
41,1055891.1157501868,1045026.0203893749,1044849.0123710654
42,1055778.8169792725,1045079.9096858416,1044906.2614715343
43,1055617.686891421,1045142.1526859006,1045003.5126104116
44,1055409.5444348063,1045264.0149795872,1045087.7401088489
45,1055159.9198036015,1045369.096967027,1045229.8957821821
46,1054872.8552486498,1045526.2392353702,1045357.1876400828
47,1054554.461668838,1045707.4995625716,1045491.5419097989
48,1049515.2948819106,1047268.542164021,1048945.4638725794
49,1048997.567712514,1047874.4549512656,1048856.334235497
50,1049488.5857664284,1047361.1224606923,1048879.436569981
51,1049687.238090269,1047013.4322141628,1049029.1807010195
52,1049756.8525506216,1047215.8623611373,1048756.8477275874
53,1049520.6765165762,1047462.5510177686,1048745.8029179226
54,1048602.9785223904,1048724.3141152877,1048400.7328461648
55,1054707.9009922668,1048464.3215663681,1042590.7939611318
56,1050529.0524578448,1049470.3896001456,1045734.6079770506
57,1048777.5477839513,1048039.3616969706,1048911.3008179974
58,1048515.7576480468,1048639.3507627824,1048572.8952379762
59,1048553.8093447027,1048457.9542057223,1048716.2527087952
60,1048761.3145399664,1048151.8431886378,1048814.9716649402
61,1049272.7793195306,1047568.4406045702,1048887.5419355736
62,1054369.2616023878,1047309.4301093202,1044075.7337656498
63,1054462.825860827,1046818.9359450911,1044472.2651139352
64,1046179.1980150014,1047796.7966592471,1051759.8678036197
65,1045696.4355281489,1048135.5970896985,1051905.299109086
66,1045390.2919345523,1048544.9319858089,1051802.580084357
67,1045323.768087339,1048810.7569973804,1051602.9135727277
68,1045104.1964121028,1049615.3305993136,1051017.5781485671
69,1044676.4133526514,1049379.7089371819,1051684.0430689303
70,1045520.0410086118,1051720.4126415306,1048496.7171080855
71,1056385.611987412,1045232.4853967326,1044153.6408627526
72,1049859.506800954,1050196.339202725,1045678.195593235
73,1045504.0320113108,1049560.11963195,1050670.9027236176
74,1044230.2325612992,1051253.6818762845,1050257.8586509435
75,1044572.456272309,1054217.898431202,1046961.708942275
76,1044337.4944796542,1051971.585546783,1049433.3347054403
77,1044852.8357617246,1050509.467164602,1050375.633833739
78,1044652.7030513085,1054648.614603656,1046453.7536266864
79,1046676.8218595549,1054776.1794750763,1044303.7523881308
80,1045405.5273528773,1055169.946839784,1045183.5395341106
81,1045609.2750341882,1055487.3967603887,1044665.593603932
82,1046648.595807935,1055579.3901012188,1043537.279202867
83,1046880.9005978098,1055752.7753685827,1043134.3736956506
84,1047132.4392682058,1055838.0736339071,1042799.5386503396
85,1043612.451165394,1054928.7579997173,1047218.6609053876
86,1052262.3375995515,1050445.9347946185,1043042.4753435574
87,1056604.1837232094,1044828.6774108638,1044341.119162757
88,1055029.4444792594,1048219.5102016979,1042516.4729503003
89,1047472.3054318024,1055961.745480543,1042339.089237085
90,1047804.711768398,1055723.1136410378,1042243.9341931189
91,1047356.2788546155,1055738.0843836123,1042675.4074978316
92,1047533.2293375626,1055475.2316384523,1042758.890020101
93,1046546.7477061079,1055535.4291227488,1043682.3009113431
94,1046048.292095492,1055352.2936332354,1044360.828521207
95,1045966.1347220893,1055035.834709895,1044756.1342198967
96,1044380.0119258278,1055177.146020539,1046202.7012861317
97,1044770.5306279024,1055585.0855226289,1045407.5018791845
98,1045414.6885690091,1055874.4942940327,1044476.9942795733
99,1045648.6856663618,1056111.8107293104,1044008.6155741094
100,1046835.0406065074,1056045.9126315876,1042890.5126959224
101,1046284.2810412972,1055445.299419527,1044033.264553231
102,1056528.157266707,1045492.3300998267,1043753.2907417259
103,1056719.325504132,1044571.1839534448,1044484.7403189911
104,1056459.883268043,1045894.9784579887,1043418.8853755345
105,1047690.6031625215,1055853.127674228,1042229.102798967
106,1046778.251757221,1056163.0481423284,1042831.4248866007
107,1046862.6008376224,1055973.7217821337,1042934.3493654754
108,1046499.1533320473,1055858.3731454972,1043410.5410434606
109,1045789.3641220845,1055761.7261021845,1044214.3052122148
110,1045445.327331415,1055509.057726894,1044807.9786844314
111,1044782.1624423555,1055128.5436931353,1045848.1784759145
112,1043607.6096117323,1054942.2194361642,1047210.1566355577
113,1044517.5415039861,1055590.972451131,1045654.8737920488
114,1044781.8577024085,1055950.8544014543,1045034.0684760981
115,1044965.8784786025,1056213.5504194247,1044590.1757979578
116,1044857.8874255542,1056398.0596927486,1044515.6808761737
117,1052251.9714337145,1051054.2322431526,1042449.0682830942
118,1056713.7807286736,1044769.1259319838,1044292.3311363587
119,1056771.89225068,1044501.9854347517,1044501.9810826093
120,1056762.0812185502,1044662.8200586026,1044350.8663129236
121,1049372.0213977087,1054116.2726527378,1042273.5844335739
122,1045065.4988869103,1056550.496990526,1044157.5127739807
123,1045380.0529178035,1056339.7675145916,1044051.5527516175
124,1045420.0578016281,1056118.01963659,1044230.7981176878
125,1045815.6897395136,1055797.359329957,1044152.7792558316
126,1044881.1663635469,1055529.4291736803,1045351.9256757727
127,1044432.7239410897,1055124.8664238981,1046201.7336409104
128,1042516.0841272633,1054002.039429067,1049241.637241627
129,1042484.4560872482,1054650.5892278312,1048628.2453343149
130,1042377.3802980524,1054932.7371109652,1048455.4788391789
131,1042337.0085110501,1055263.024679405,1048167.9292458727
132,1044108.8483594528,1056267.2980932062,1045394.4033785902
133,1056004.3902799245,1047154.1472386917,1042613.6896713371
134,1056709.4650039047,1044662.4969000999,1044403.1879349092
135,1056764.449586421,1044505.66340852,1044505.6590603227
136,1056754.6592202592,1044678.803637109,1044342.2221568815
137,1053481.7490050893,1050020.7850682202,1042256.9769940627
138,1044810.7076729868,1056526.455772301,1044435.9104632552
139,1044898.7169650204,1056367.724247204,1044504.8589119706
140,1044548.069564984,1056147.5029713882,1045073.3495725857
141,1043792.2949518759,1055721.1770463663,1046252.3584603837
142,1043070.5091862187,1055023.1459073434,1047669.0101807837
143,1043352.9498222511,1054619.5058703397,1047786.2657724782
144,1042091.6920008634,1050872.3256102481,1052795.0336838677
145,1041617.2759691384,1051647.5042409361,1052498.1437168578
146,1041293.6276111914,1052528.5159173228,1051944.002627004
147,1041340.1841577352,1053981.0845589563,1050447.297334396
148,1044383.4296220508,1055302.388561764,1046075.1198147287
149,1056320.8803501585,1046219.573453135,1043232.4114166313
150,1056643.3636159226,1044718.6807797645,1044412.3502048992
151,1056697.781342628,1044538.6108910601,1044538.6065781964
152,1056689.1062312245,1044616.5385930897,1044469.2589841844
153,1056242.963685876,1046159.3313633956,1043369.4453154721
154,1043843.3252055672,1055982.7993917284,1045942.0232718433
155,1043178.026600199,1055907.3007203029,1046683.9026679555
156,1043408.1949520337,1055782.5229388666,1046576.6864626873
157,1042666.2060405513,1055083.187016543,1048015.601275243
158,1042638.16125578,1054548.0220532264,1048575.6352197685
159,1042448.6159381717,1053589.84569217,1049720.052146923
160,1042397.5081684875,1049825.1913038979,1053535.9779931568
161,1041820.106470342,1051065.0030662052,1052876.4266727127
162,1041452.9100557979,1052814.7428597037,1051497.1771163607
163,1041211.7218310051,1052753.0641350239,1051802.3572759866
164,1047094.6285352536,1052816.8051575692,1045829.7844865021
165,1056329.3547939549,1045605.5383654,1043836.6890834724
166,1056517.6398457498,1044838.4529473884,1044416.8903174171
167,1056551.1332841374,1044991.6817856439,1044230.64254634
168,1056454.656672312,1045483.1457118281,1043835.0749910916
169,1056306.1367343804,1045834.7105278187,1043630.8897485939
170,1047357.5457675374,1053358.9026911848,1045029.166246896
171,1041456.6297960575,1054438.735472815,1049873.996217204
172,1041309.4163273039,1053313.7884891666,1051143.8210028652
173,1041585.6414058406,1053097.8295660033,1051080.5705246308
174,1042058.0175879158,1053303.4203183693,1050399.06131078
175,1042153.7103543236,1052020.3184593464,1051583.6087861597
176,1043263.1365209528,1048210.4441254087,1054283.4754947994
177,1042450.0759929103,1049337.6951047056,1053972.2850788038
178,1042026.675439449,1049917.3798047458,1053818.360430036
179,1041756.9980682265,1049888.8770156319,1054119.773779286
180,1043438.3818178945,1051667.8511939351,1050640.9446816966
181,1045748.07143087,1052491.1231810416,1047500.4793481833
182,1044491.7251172143,1053027.6559349261,1048226.0811458515
183,1043870.6711717218,1052828.2702001585,1049048.3442623322
184,1042064.1607464595,1054154.2645190996,1049545.0799249106
185,1042280.1721075113,1053756.0303476895,1049724.121380974
186,1041223.5388601241,1052007.948618798,1052535.381020172
187,1041420.6540051518,1053863.6225802496,1050483.2030674086
188,1041530.6264660768,1051829.289636951,1052403.785983588
189,1042028.7339574472,1050627.246929056,1053104.2432668004
190,1042880.5589769076,1048700.176190023,1054177.7024118768
191,1043186.1013030845,1048511.1445125809,1054058.9436625033
192,1043896.7005306977,1047462.616677009,1054395.8653965502
193,1043821.1203024227,1047113.4854890534,1054823.808135505
194,1042624.3899416561,1048825.2248423889,1054310.9882467226
195,1041839.2804706878,1053122.6735415962,1050799.901897008
196,1041505.4753944204,1052810.936499163,1051447.9109088816
197,1041581.1972018115,1052505.5837192757,1051676.4962340563
198,1041588.9485532804,1051803.315637373,1052370.8476715505
199,1041468.5185838745,1053079.8332956939,1051216.7335685887
200,1044338.1281610955,1045513.1766341644,1055915.4177185728
201,1049286.5947716555,1041844.3445060725,1054636.422837718
202,1046723.012655559,1043816.3034990449,1055222.1862766773
203,1042152.8001588336,1049014.6905992613,1054597.5636455459
204,1043277.9879208129,1047353.0378591589,1055131.5637901595
205,1042852.0677331932,1048521.0676428837,1054386.5881313903
206,1042944.4768475274,1048847.829934106,1053964.6971825256
207,1044378.6202019826,1046855.9827321745,1054520.0560883894
208,1045208.874171214,1046075.4141513306,1054468.6567755642
209,1045971.5049819364,1044990.5550376402,1054793.7390292848
210,1045529.0480083742,1045222.414419061,1055006.0421600693
211,1045209.1381707048,1046002.0397419311,1054542.3606616429
212,1042962.2716812919,1048515.3198070468,1054280.9565337955
213,1044753.7520583706,1045391.960891618,1055617.7319075372
214,1044845.7703024246,1045171.9086323542,1055747.001892977
215,1041930.0605579279,1049673.0209425627,1054161.4292251517
216,1041643.4849820622,1050251.9092099646,1053870.2267343965
217,1044816.744727294,1045163.3483338642,1055784.9796551445
218,1044982.7285897853,1045092.3642373992,1055688.9757591926
219,1045934.0821951947,1044453.9874751348,1055373.3923229354
220,1046231.9570635504,1044440.2205023891,1055086.811871379
221,1043510.0392981439,1048019.9351565464,1054225.6302366948
222,1044858.3533803691,1046185.9153825145,1054710.9926314875
223,1046011.2112347351,1045266.3789453593,1054475.3646292773
224,1047154.2039935947,1044499.2290497938,1054097.9957876035
225,1046793.8960520794,1044499.8299317516,1054460.2210576544
226,1046882.6538289335,1044199.0611228632,1054674.5217794043
227,1049130.8088418846,1042745.9514865254,1053881.0134556524
228,1049885.292189596,1042279.5387456933,1053594.9019632428
229,1049690.579417248,1042191.7636890359,1053879.0942394012
230,1049301.5614648925,1042263.0672654139,1054197.6952595762
231,1047522.3609799701,1043159.2524038623,1055081.0846421523
232,1047698.2649160039,1043092.6587644588,1054971.2830461795
233,1050698.5156833278,1041835.9525887098,1053227.659372797
234,1049886.485695006,1042156.1081571532,1053718.487774611
235,1049261.8334426738,1042542.9426376758,1053954.5984417284
236,1047879.2560730076,1043424.7571051524,1054453.34264573
237,1045482.8470030611,1045492.2714452983,1054780.33329462
238,1046282.874720064,1044978.9033340295,1054491.5856137231
239,1046804.1536068985,1044835.023531978,1054111.60475369
240,1049092.0312980195,1043642.3877776028,1053014.709009866
241,1047436.4751269277,1044314.334835209,1054000.500379774
242,1048229.4502869115,1043628.5338962042,1053895.2364887039
243,1048932.8856085225,1043075.4730140438,1053746.87874706
244,1049473.1115093573,1042687.6661092639,1053596.1563718603
245,1049539.6636131818,1042544.8744838402,1053673.640333508
246,1048563.8758088434,1042900.520762209,1054294.5562534633
247,1046738.041645447,1044016.7928931299,1055004.3927490225
248,1046714.5422083075,1044060.6142504106,1054983.7966011926
249,1049227.4192907242,1042619.6536166191,1053911.6215547929
250,1048465.3366651576,1043051.9831213555,1054240.5367466637
251,1047900.2793521567,1043488.4172513073,1054367.859006987
252,1047824.5543228665,1043693.3349688681,1054237.0291662978
253,1047978.535813522,1043795.2474115314,1053979.206375003
254,1048116.7802795152,1043946.5470802431,1053687.4509006862
255,1047983.1330609019,1044279.8226550417,1053485.506197416
