Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
286,146,135,152
287,138,146,149
288,143,182,111
289,140,146,148
290,143,146,145
291,140,146,147
292,149,156,129
293,146,141,146
294,151,135,148
295,145,138,150
296,136,142,156
297,149,141,143
298,143,143,148
299,144,146,143
300,144,123,167
301,148,142,143
302,145,148,141
303,134,153,146
304,126,162,146
305,143,149,141
306,139,151,144
307,142,150,141
308,140,142,151
309,138,148,147
310,135,153,146
311,145,146,143
312,137,152,144
313,154,134,146
314,149,139,146
315,146,141,146
316,153,133,148
317,149,143,141
318,158,138,138
319,150,144,139
320,163,120,151
321,136,153,145
322,145,146,142
323,143,146,145
324,160,128,146
325,147,141,146
326,140,149,144
327,139,150,144
328,141,155,137
329,146,141,146
330,147,142,144
331,150,145,139
332,124,161,150
333,147,137,150
334,149,128,156
335,149,146,138
336,145,145,143
337,148,148,138
338,145,147,142
339,151,139,143
340,141,159,134
341,144,144,145
342,144,153,136
343,140,141,152
344,149,166,119
345,138,148,147
346,145,141,147
347,140,146,147
348,143,137,154
349,150,140,143
350,146,136,152
351,148,148,137
352,132,156,146
353,143,147,143
354,150,140,143
355,147,143,144
356,146,143,145
357,147,138,148
358,148,145,140
359,144,143,146
360,132,156,146
361,144,144,145
362,147,145,141
363,143,143,147
364,147,145,142
365,149,140,144
366,142,145,147
367,148,142,143
368,137,139,158
369,139,147,148
370,140,144,149
371,142,146,145
372,142,139,152
373,150,143,141
374,149,146,139
375,152,144,137
376,141,152,141
377,148,145,139
378,152,135,146
379,140,151,142
380,146,142,146
381,144,141,148
382,139,147,147
383,136,149,148
384,165,113,157
385,146,142,145
386,138,144,151
387,152,134,147
388,168,123,143
389,141,153,139
390,130,166,137
391,141,150,142
392,128,177,129
393,140,152,141
394,140,149,145
395,146,148,139
396,107,182,146
397,146,138,149
398,152,126,156
399,154,134,146
400,146,138,150
401,151,138,144
402,148,138,147
403,144,143,146
404,161,153,120
405,150,141,143
406,150,152,132
407,141,139,153
408,176,154,106
409,141,147,145
410,143,144,147
411,140,148,146
412,125,133,177
413,137,149,148
414,137,138,158
415,148,149,136
416,150,139,144
417,148,143,142
418,146,146,141
419,142,149,143
420,139,145,149
421,148,142,143
422,146,145,142
423,139,152,142
424,139,151,144
425,141,147,145
426,140,147,146
427,152,138,144
428,138,154,142
429,146,144,143
430,147,139,147
431,151,141,141
432,144,135,155
433,142,146,146
434,144,147,142
435,150,136,148
436,138,147,148
437,147,145,141
438,150,143,140
439,148,142,143
440,147,142,144
441,144,146,144
442,144,146,143
443,142,150,142
444,150,147,137
445,145,142,147
446,138,150,146
447,136,150,146
448,164,168,104
449,149,142,142
450,146,143,144
451,145,145,144
452,133,167,134
453,144,138,151
454,157,126,151
455,153,129,151
456,150,142,142
457,138,146,149
458,133,156,145
459,137,147,149
460,129,157,148
461,147,147,140
462,143,150,140
463,144,146,144
464,136,161,137
465,145,145,143
466,154,134,146
467,135,159,139
468,140,135,159
469,146,136,151
470,154,125,155
471,144,148,141
472,152,119,163
473,143,147,144
474,131,155,148
475,150,136,147
476,137,151,146
477,143,151,140
478,135,162,137
479,151,140,143
480,158,165,112
481,144,142,147
482,143,143,148
483,142,143,149
484,152,147,135
485,148,142,143
486,148,138,148
487,140,147,146
488,139,146,149
489,143,145,145
490,146,139,148
491,150,141,142
492,143,126,165
493,139,150,144
494,141,154,139
495,142,147,144
496,129,171,134
497,144,147,142
498,145,147,141
499,146,143,144
500,139,145,149
501,138,150,146
502,136,154,143
503,144,146,144
504,135,151,148
505,149,138,146
506,144,140,149
507,151,140,142
508,155,132,147
509,147,147,139
510,149,146,138
511,149,144,140
512,169,40,245
513,141,148,145
514,149,139,146
515,133,151,149
516,124,174,137
517,142,135,157
518,111,160,164
519,156,126,152
520,142,160,132
521,139,155,140
522,152,146,136
523,147,142,145
524,168,147,119
525,141,149,143
526,143,146,144
527,140,154,140
528,135,171,129
529,151,140,143
530,159,139,136
531,142,147,144
532,181,142,112
533,149,139,146
534,136,142,155
535,141,144,149
536,210,91,139
537,139,150,144
538,146,138,149
539,143,153,137
540,114,157,164
541,142,155,136
542,149,164,121
543,159,138,137
544,164,126,145
545,145,143,146
546,146,143,144
547,148,139,147
548,147,136,150
549,147,142,144
550,141,147,145
551,146,145,143
552,149,144,141
553,142,148,143
554,143,148,142
555,140,149,144
556,138,159,136
557,142,148,144
558,144,143,146
559,140,148,145
560,152,145,136
561,144,145,145
562,149,142,143
563,144,146,143
564,134,156,144
565,150,140,143
566,148,136,150
567,146,144,144
568,156,135,142
569,140,146,147
570,139,149,146
571,148,139,147
572,143,148,143
573,139,150,144
574,133,157,144
575,146,143,145
576,132,131,171
577,149,135,149
578,144,140,149
579,145,144,144
580,141,145,147
581,144,146,143
582,146,143,145
583,143,145,145
584,151,137,146
585,149,148,137
586,153,153,128
587,145,146,143
588,155,161,118
589,137,149,147
590,140,149,144
591,146,136,151
592,155,132,147
593,144,142,147
594,147,134,152
595,149,142,142
596,154,136,143
597,142,147,145
598,142,140,151
599,145,148,141
600,165,106,164
601,144,146,144
602,141,153,139
603,140,149,144
604,145,153,136
605,137,152,144
606,138,156,140
607,141,140,152
608,129,142,162
609,149,139,145
610,137,155,142
611,146,145,143
612,134,147,153
613,142,147,145
614,148,140,145
615,141,149,143
616,154,135,145
617,144,144,144
618,146,143,145
619,151,138,145
620,155,146,132
621,139,150,144
622,143,145,146
623,150,138,145
624,152,133,149
625,144,142,147
626,147,141,145
627,145,140,149
628,152,143,138
629,140,147,146
630,144,147,142
631,139,149,146
632,152,133,148
633,146,144,143
634,144,149,140
635,145,149,140
636,141,150,143
637,143,147,143
638,138,143,152
639,148,141,144
640,101,173,162
641,141,149,143
642,151,135,147
643,131,157,145
644,135,151,148
645,152,138,143
646,156,129,149
647,144,143,147
648,155,112,168
649,152,137,144
650,140,151,143
651,149,137,148
652,169,137,128
653,134,157,143
654,133,166,136
655,142,146,145
656,156,139,139
657,147,144,143
658,156,135,143
659,152,144,138
660,144,128,162
661,133,150,151
662,132,145,156
663,146,148,139
664,157,114,163
665,147,140,146
666,138,152,143
667,140,146,147
668,156,157,121
669,152,142,139
670,150,151,132
671,143,142,148
672,129,150,154
673,148,144,142
674,137,152,145
675,144,145,144
676,138,143,153
677,138,152,144
678,145,147,140
679,147,143,143
680,145,145,144
681,148,140,145
682,147,142,145
683,144,145,144
684,153,147,134
685,148,141,145
686,143,150,141
687,149,142,142
688,159,130,145
689,145,139,149
690,146,137,151
691,141,145,147
692,162,136,136
693,142,146,145
694,141,147,145
695,141,146,146
696,139,137,157
697,145,147,140
698,148,144,141
699,140,152,142
700,141,146,147
701,144,144,145
702,146,141,146
703,144,142,148
704,119,188,129
705,145,141,148
706,151,140,142
707,143,145,146
708,150,137,147
709,144,150,140
710,139,158,137
711,141,149,144
712,142,141,151
713,146,141,146
714,145,133,155
715,151,144,139
716,160,122,152
717,144,145,145
718,146,143,144
719,141,148,145
720,120,150,164
721,142,145,147
722,140,148,146
723,150,135,148
724,155,129,150
725,147,153,133
726,137,165,131
727,145,146,142
728,138,156,139
729,150,140,143
730,158,131,145
731,151,140,143
732,160,137,137
733,142,139,152
734,144,138,152
735,135,149,149
736,166,121,147
737,141,146,147
738,146,143,144
739,149,142,143
740,147,138,148
741,138,147,147
742,143,145,145
743,149,144,141
744,151,145,137
745,149,145,139
746,139,153,142
747,134,152,147
748,134,159,141
749,147,142,145
750,148,141,144
751,144,143,147
752,150,146,137
753,149,143,141
754,146,142,146
755,144,155,135
756,137,155,142
757,151,138,145
758,151,131,151
759,146,144,143
760,148,144,141
761,138,146,149
762,141,148,144
763,143,143,147
764,139,150,144
765,141,147,145
766,142,149,142
767,148,138,147
768,0,234,233
769,144,143,146
770,138,156,139
771,144,148,141
772,123,176,136
773,137,155,142
774,131,168,135
775,159,129,146
776,188,94,156
777,174,132,129
778,205,103,131
779,137,150,146
780,255,88,106
781,135,160,139
782,130,172,133
783,137,154,143
784,243,85,118
785,151,131,151
786,140,132,161
787,153,141,140
788,155,101,180
789,140,140,154
790,136,142,156
791,134,158,141
792,128,89,226
793,133,158,143
794,137,155,141
795,147,145,142
796,137,180,118
797,145,152,136
798,151,153,130
799,133,148,152
800,148,162,123
801,144,141,148
802,141,147,145
803,140,146,147
804,151,146,136
805,146,143,145
806,144,143,147
807,149,140,144
808,135,150,149
809,145,143,145
810,147,139,148
811,139,151,143
812,139,132,163
813,145,143,146
814,151,136,146
815,137,152,145
816,120,174,140
817,143,149,141
818,142,152,139
819,145,147,141
820,134,148,152
821,146,146,142
822,142,148,143
823,154,138,142
824,143,151,139
825,151,135,148
826,144,142,148
827,141,146,146
828,152,135,146
829,144,145,144
830,151,139,143
831,143,147,143
832,146,146,141
833,143,148,142
834,143,143,148
835,146,143,145
836,151,143,140
837,148,142,143
838,146,144,143
839,148,141,145
840,144,146,143
841,145,145,143
842,145,148,140
843,139,148,146
844,128,160,146
845,147,141,146
846,148,136,150
847,143,144,147
848,149,154,131
849,147,146,141
850,148,140,145
851,142,151,141
852,139,147,147
853,146,138,150
854,156,131,147
855,145,138,151
856,146,136,151
857,140,145,149
858,140,147,145
859,138,149,147
860,146,140,147
861,144,146,143
862,140,151,143
863,148,149,136
864,134,156,144
865,144,145,144
866,146,142,145
867,140,149,144
868,140,147,146
869,150,135,149
870,149,137,147
871,148,143,142
872,142,138,154
873,146,146,141
874,147,148,139
875,144,142,147
876,143,146,145
877,146,145,142
878,146,143,144
879,153,139,142
880,146,133,154
881,135,150,149
882,138,147,148
883,144,145,144
884,143,144,146
885,141,148,144
886,146,145,143
887,146,143,144
888,135,151,147
889,147,143,143
890,146,147,140
891,137,153,143
892,136,149,148
893,154,135,145
894,151,140,142
895,141,148,144
896,121,184,130
897,138,151,144
898,141,144,149
899,139,149,145
900,156,144,134
901,150,149,135
902,151,150,133
903,143,148,143
904,149,136,149
905,150,139,145
906,149,141,143
907,148,144,141
908,139,136,159
909,142,145,147
910,142,142,149
911,149,138,147
912,159,133,142
913,147,141,146
914,139,144,150
915,148,137,149
916,138,142,154
917,139,151,144
918,133,158,143
919,140,148,145
920,131,160,142
921,140,148,146
922,151,144,139
923,137,152,145
924,140,147,146
925,153,135,146
926,149,133,151
927,155,133,145
928,139,165,130
929,146,143,144
930,154,137,142
931,141,145,148
932,142,147,143
933,144,142,148
934,145,145,144
935,142,144,147
936,144,138,151
937,147,140,146
938,143,145,145
939,150,143,141
940,148,140,145
941,145,145,143
942,140,149,144
943,152,140,142
944,147,130,157
945,143,147,143
946,144,143,146
947,144,140,149
948,145,138,151
949,139,153,141
950,137,151,145
951,143,145,145
952,128,151,155
953,146,144,143
954,148,143,142
955,144,151,138
956,149,141,143
957,147,143,143
958,144,143,146
959,143,147,143
960,184,149,103
961,146,147,141
962,147,141,145
963,144,149,141
964,139,150,145
965,141,148,145
966,151,133,150
967,148,140,145
968,144,139,150
969,141,144,149
970,139,144,151
971,144,147,143
972,137,139,158
973,150,142,142
974,142,149,142
975,142,147,145
976,135,161,138
977,146,146,141
978,143,148,143
979,136,148,150
980,131,156,146
981,143,146,144
982,149,139,145
983,152,134,147
984,137,159,138
985,143,143,147
986,140,150,143
987,144,145,143
988,142,147,145
989,144,142,147
990,145,144,144
991,152,140,141
992,167,148,120
993,148,139,146
994,143,144,146
995,144,142,147
996,149,149,136
997,143,147,144
998,142,144,147
999,143,142,149
1000,142,149,143
1001,144,138,152
1002,137,149,147
1003,145,143,145
1004,140,135,158
1005,138,149,147
1006,149,143,142
1007,144,143,146
1008,126,163,145
1009,151,141,141
1010,142,149,142
1011,146,147,140
1012,133,148,152
1013,143,147,143
1014,140,149,144
1015,148,145,141
1016,142,149,143
1017,149,140,144
1018,141,143,149
1019,148,145,140
1020,152,140,141
1021,135,155,143
1022,154,136,143
1023,149,143,142
