Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
0,80,149,213
1,143,150,141
2,144,151,138
3,150,144,140
4,145,143,145
5,153,138,142
6,163,133,139
7,139,148,146
8,109,214,116
9,119,160,156
10,108,167,160
11,144,144,146
12,83,165,191
13,157,128,149
14,161,115,159
15,152,147,135
16,87,198,154
17,144,149,140
18,155,154,125
19,126,160,148
20,169,149,116
21,155,144,134
22,159,146,129
23,154,137,143
24,197,184,63
25,150,135,149
26,153,125,155
27,155,134,145
28,140,123,172
29,140,137,156
30,140,130,165
31,151,137,145
32,142,154,138
33,140,148,145
34,148,139,146
35,149,139,145
36,143,149,141
37,146,142,145
38,146,144,143
39,145,142,146
40,159,131,143
41,144,145,144
42,137,149,147
43,144,145,144
44,143,142,148
45,141,148,144
46,138,152,143
47,136,150,147
48,159,138,137
49,145,145,143
50,146,142,146
51,142,151,141
52,145,147,141
53,146,138,149
54,142,142,149
55,135,153,145
56,141,145,147
57,141,149,144
58,140,150,143
59,153,133,147
60,140,149,145
61,144,146,143
62,141,148,144
63,153,137,143
64,137,112,187
65,144,141,149
66,145,148,140
67,141,149,143
68,140,139,155
69,142,145,146
70,139,147,148
71,140,154,140
72,148,140,145
73,147,146,140
74,148,138,147
75,153,139,142
76,155,143,136
77,143,146,145
78,142,146,146
79,150,140,143
80,163,121,150
81,143,142,148
82,138,154,142
83,152,132,150
84,151,157,125
85,138,151,144
86,136,156,142
87,143,147,143
88,141,158,135
89,142,150,141
90,149,146,139
91,145,146,143
92,143,150,141
93,147,142,144
94,156,133,145
95,143,146,145
96,129,132,173
97,150,141,142
98,145,149,139
99,150,138,145
100,140,141,153
101,141,153,139
102,142,156,136
103,140,149,145
104,152,149,133
105,142,144,148
106,147,140,146
107,149,140,144
108,157,146,131
109,143,144,146
110,137,146,150
111,149,139,146
112,143,133,158
113,150,137,147
114,149,142,142
115,143,142,149
116,155,137,142
117,149,142,142
118,147,146,140
119,143,150,141
120,157,140,137
121,141,150,143
122,145,142,146
123,145,145,143
124,144,148,141
125,135,151,147
126,137,146,150
127,140,147,146
128,122,154,158
129,148,139,146
130,145,143,145
131,142,148,143
132,142,139,152
133,141,144,148
134,148,140,145
135,144,145,144
136,138,142,154
137,145,146,143
138,141,146,147
139,142,144,147
140,147,153,134
141,143,149,141
142,146,151,136
143,149,136,148
144,149,139,146
145,146,144,144
146,149,144,139
147,149,145,139
148,142,150,142
149,149,138,146
150,163,134,137
151,149,139,145
152,162,131,140
153,147,141,146
154,130,153,151
155,142,144,147
156,146,136,152
157,141,152,139
158,140,149,144
159,135,157,141
160,147,123,164
161,150,144,139
162,134,154,146
163,148,148,138
164,143,136,154
165,141,148,144
166,140,148,145
167,144,150,139
168,147,152,134
169,143,146,144
170,148,141,144
171,144,143,146
172,146,155,133
173,148,138,147
174,150,139,145
175,147,142,144
176,148,132,153
177,146,140,148
178,143,144,147
179,148,141,145
180,153,146,134
181,149,139,146
182,153,137,143
183,146,142,146
184,153,138,142
185,142,152,139
186,140,153,141
187,137,152,145
188,137,154,142
189,146,141,146
190,146,140,147
191,138,146,149
192,133,182,121
193,149,138,147
194,145,147,141
195,151,141,141
196,143,147,143
197,146,141,146
198,142,148,143
199,144,141,149
200,140,142,152
201,142,142,149
202,144,134,156
203,143,142,149
204,160,120,154
205,144,148,141
206,150,143,140
207,139,151,143
208,127,153,154
209,140,144,150
210,140,150,144
211,139,149,146
212,149,134,151
213,147,143,144
214,142,143,148
215,140,154,139
216,133,139,162
217,150,147,136
218,152,137,144
219,154,133,146
220,156,139,139
221,144,148,142
222,145,150,138
223,140,150,144
224,163,136,135
225,137,146,150
226,146,139,149
227,144,144,146
228,151,138,145
229,147,142,144
230,137,145,151
231,147,146,141
232,149,143,142
233,146,149,138
234,145,148,140
235,141,147,146
236,138,148,147
237,148,141,144
238,144,149,141
239,141,147,145
240,154,148,131
241,142,150,142
242,152,137,145
243,146,149,138
244,145,149,140
245,148,139,146
246,147,135,151
247,138,146,149
248,136,151,147
249,140,148,145
250,142,149,143
251,148,139,147
252,137,147,149
253,152,137,145
254,145,149,139
255,150,142,142
256,125,104,210
257,148,142,144
258,143,148,142
259,164,133,136
260,163,123,149
261,139,154,140
262,155,137,141
263,138,155,141
264,151,149,133
265,147,144,142
266,143,142,148
267,140,151,143
268,143,141,149
269,148,140,145
270,147,137,149
271,140,151,142
272,161,115,159
273,141,148,144
274,137,158,139
275,138,151,144
276,136,152,145
277,140,150,144
278,141,154,138
279,143,148,143
280,121,203,114
281,154,136,144
282,152,142,140
283,153,131,150
284,168,139,127
285,140,142,151
