,0 pi,2/3 pi,4/3 pi
0,1050619.8729562552,1047555.556571712,1047555.5554847977
1,1050602.6653687009,1047564.1353475852,1047564.1342698168
2,1050602.6653687009,1047564.1353475852,1047564.1342698168
3,1050602.6653687009,1047564.1353475852,1047564.1342698168
4,1050602.6653687009,1047564.1353475852,1047564.1342698168
5,1050602.6653687009,1047564.1353475852,1047564.1342698168
6,1050608.415565448,1047561.2685858607,1047561.2675050359
7,1050604.375051224,1047563.2829825621,1047563.2819038854
8,1050592.2945545302,1047569.3057786581,1047569.3047064024
9,1050592.2945545302,1047569.3057786581,1047569.3047064024
10,1050592.87469558,1047569.0165438628,1047569.0154712982
11,1050598.044722896,1047566.4389885522,1047566.4379132403
12,1050597.4645804183,1047566.7282219206,1047566.7271469164
13,1050596.8844381012,1047567.0174554487,1047567.0163807536
14,1050596.8844381012,1047567.0174554487,1047567.0163807536
15,1050588.8444610639,1047571.0258602749,1047571.0247898529
16,1050588.8444610639,1047571.0258602749,1047571.0247898529
17,1050588.8444610639,1047571.0258602749,1047571.0247898529
18,1050588.8444610639,1047571.0258602749,1047571.0247898529
19,1050588.8444610639,1047571.0258602749,1047571.0247898529
20,1050588.8444610639,1047571.0258602749,1047571.0247898529
21,1050588.8444610639,1047571.0258602749,1047571.0247898529
22,1050588.8444610639,1047571.0258602749,1047571.0247898529
23,1050588.8444610639,1047571.0258602749,1047571.0247898529
24,1050590.554132341,1047570.1734840062,1047570.1724126757
25,1050585.3533740356,1047572.7663883186,1047572.7653197526
26,1050577.8935780344,1047576.4855983353,1047576.4845337339
27,1050568.7262035576,1047581.0562054213,1047581.0551456936
28,1050584.8039844735,1047573.0402946104,1047573.0392263369
29,1050588.8444610639,1047571.0258602749,1047571.0247898529
30,1050588.8444610639,1047571.0258602749,1047571.0247898529
31,1050584.8039844735,1047573.0402946104,1047573.0392263369
32,1050590.5869318033,1047570.1571314774,1047570.1560601294
33,1050568.0894151016,1047666.4234158098,1047496.329802737
34,1050569.9044967962,1047623.0056488189,1047537.9324880339
35,1050569.9044967962,1047623.0056488189,1047537.9324880339
36,1050569.9044967962,1047623.0056488189,1047537.9324880339
37,1050569.9044967962,1047623.0056488189,1047537.9324880339
38,1050569.9044967962,1047623.0056488189,1047537.9324880339
39,1050565.865280803,1047624.9333778208,1047540.0324750254
40,1050559.5369864386,1047627.9536000176,1047543.322576812
41,1050559.5369864386,1047627.9536000176,1047543.322576812
42,1050564.7053653183,1047625.4869533897,1047540.635516866
43,1050564.7053653183,1047625.4869533897,1047540.635516866
44,1050564.1233584962,1047625.7647194634,1047540.9381034727
45,1050564.1233584962,1047625.7647194634,1047540.9381034727
46,1050564.1233584962,1047625.7647194634,1047540.9381034727
47,1050556.0879920668,1047629.5996682665,1047545.1157329335
48,1050555.5080369448,1047629.876458671,1047545.4172564738
49,1050556.6679473491,1047629.3228780221,1047544.8142095532
50,1050556.6679473491,1047629.3228780221,1047544.8142095532
51,1050561.8363191672,1047626.8562243322,1047542.1271425452
52,1050555.5080369448,1047629.876458671,1047545.4172564738
53,1050556.0879920668,1047629.5996682665,1047545.1157329335
54,1050556.0879920668,1047629.5996682665,1047545.1157329335
55,1050556.0879920668,1047629.5996682665,1047545.1157329335
56,1050555.5080369448,1047629.876458671,1047545.4172564738
57,1050556.6351583537,1047629.3385269362,1047544.8312568069
58,1050549.1797737936,1047632.8967120808,1047548.7073894738
59,1050535.396194092,1047639.4752186462,1047555.8737231506
60,1050551.4688486448,1047631.8042153656,1047547.5172711579
61,1050557.7971186948,1047628.7839688539,1047544.2271450566
62,1050551.3038888115,1047652.8601083797,1047526.6279758073
63,1050552.6214390155,1047598.0480842097,1047580.1224497745
64,1050600.3345447688,1047565.2973870336,1047565.2963105043
65,1050571.6136346692,1047622.1899606521,1047537.0439114028
66,1050578.5475134754,1047576.1595659497,1047576.1585010015
67,1050578.5475134754,1047576.1595659497,1047576.1585010015
68,1050578.5475134754,1047576.1595659497,1047576.1585010015
69,1050578.5475134754,1047576.1595659497,1047576.1585010015
70,1050578.5475134754,1047576.1595659497,1047576.1585010015
71,1050572.7994484152,1047579.0253873621,1047579.0243254687
72,1050568.1788682875,1047581.3290940062,1047581.3280345689
73,1050567.596684112,1047581.6193576758,1047581.6182985482
74,1050572.7666492304,1047579.0417401681,1047579.0406782927
75,1050572.7666492304,1047579.0417401681,1047579.0406782927
76,1050572.7666492304,1047579.0417401681,1047579.0406782927
77,1050572.7666492304,1047579.0417401681,1047579.0406782927
78,1050564.7267644773,1047583.0502372786,1047583.0491796763
79,1050569.2155186832,1047665.9100236557,1047495.7203044998
80,1050540.5624642568,1047637.0094906726,1047553.1876692553
81,1050498.063734334,1047616.2886294179,1047616.2876072506
82,1050495.7309765636,1047617.4518070271,1047617.4507861
83,1050525.6613982746,1047602.5279646933,1047602.5269278566
84,1050563.599297122,1047583.6123696241,1047583.6113126208
85,1050565.3089478582,1047582.759972814,1047582.758914902
86,1050564.1466311992,1047583.3394798463,1047583.3384225521
87,1050564.7267644773,1047583.0502372786,1047583.0491796763
88,1050564.1466311992,1047583.3394798463,1047583.3384225521
89,1050563.566498081,1047583.6287225739,1047583.6276655882
90,1050555.5286984642,1047587.636232821,1047587.6351801079
91,1050543.4484826075,1047593.6593097533,1047593.6582634617
92,1050559.5260700998,1047585.6432055187,1047585.6421506809
93,1050560.6591174402,1047594.0770448237,1047576.0785525313
94,1050559.80094104,1047636.8294720245,1047534.1843017312
95,1050552.6214390155,1047598.0480842097,1047580.1224497745
96,1050598.6248655338,1047566.1497553447,1047566.148679724
97,1050569.7969978605,1047665.6449268531,1047495.4055820109
98,1050578.5475134754,1047576.1595659497,1047576.1585010015
99,1050580.2540052168,1047578.3951683572,1047572.2212995489
100,1050579.558085457,1047621.4859557245,1047529.8264319412
101,1050579.558085457,1047621.4859557245,1047529.8264319412
102,1050580.2540052168,1047578.3951683572,1047572.2212995489
103,1050574.5038946217,1047581.2531520659,1047575.0969873698
104,1050568.1788682875,1047581.3290940062,1047581.3280345689
105,1050568.1788682875,1047581.3290940062,1047581.3280345689
106,1050573.346784889,1047578.752499981,1047578.7514377971
107,1050573.346784889,1047578.752499981,1047578.7514377971
108,1050565.3089478582,1047582.759972814,1047582.758914902
109,1050576.1777415364,1047589.4904230526,1047565.1907815885
110,1050561.154677835,1047669.5849913742,1047500.0832170341
111,1050410.7500599374,1048062.3588814326,1047257.4510562425
112,1050338.6565109717,1048042.7181192979,1047348.960427863
113,1050329.4795696207,1047769.9615766781,1047630.7608228609
114,1050326.1182398694,1047704.7310335536,1047699.3396738705
115,1050349.7173846096,1047690.2659522642,1047690.2650089555
116,1050458.3539087144,1047636.0895772437,1047636.0885761849
117,1050533.6652374913,1047601.551911947,1047595.5214874713
118,1050565.8859330222,1047585.5365909842,1047579.4069603651
119,1050561.3063740903,1047587.8128191021,1047581.697288656
120,1050558.395468946,1047589.2596657977,1047583.1530978612
121,1050563.566498081,1047583.6287225739,1047583.6276655882
122,1050555.525566414,1047590.6861383191,1047584.5884066597
123,1050544.0254963078,1047596.4022568204,1047590.339933385
124,1050552.6360378542,1047595.1662961709,1047582.9896389742
125,1050560.6831940582,1047588.122566224,1047582.0089545132
126,1050559.9940664908,1047630.7927865481,1047540.0278617565
127,1050560.6863342652,1047585.0647179923,1047585.0636625378
128,1050602.6653687009,1047564.1353475852,1047564.1342698168
129,1050568.2609683792,1047663.2698351817,1047499.311830088
130,1050578.0244807855,1047616.0455690777,1047536.7955305637
131,1050572.7234024587,1047652.1545555581,1047505.9760760416
132,1050573.789552905,1047663.824724289,1047493.244639698
133,1050573.789552905,1047663.824724289,1047493.244639698
134,1050574.2781069742,1047654.5194568096,1047502.0613531076
135,1050575.609825773,1047620.2827815184,1047534.9663096004
136,1050567.5744153887,1047624.117686366,1047539.1438951066
137,1050567.5744153887,1047624.117686366,1047539.1438951066
138,1050567.5744153887,1047624.117686366,1047539.1438951066
139,1050566.992407772,1047624.3954516455,1047539.4464809183
140,1050566.9020071183,1047627.5065683154,1047536.4257649024
141,1050550.2172483986,1047635.4438331627,1047545.1259736046
142,1050444.2039811644,1047889.8980342642,1047396.450139934
143,1049984.8234502662,1048836.516766717,1046908.9636984033
144,1050342.802483886,1048004.8687453113,1047382.6518546438
145,1050389.2634785066,1047750.7612370267,1047590.3310912017
146,1050374.973539494,1047716.0501738276,1047639.2904929998
147,1050327.886996541,1047738.5295512307,1047663.7781486078
148,1050306.0684108103,1047748.9463943683,1047675.1255869117
149,1050297.2616764477,1047760.9620585422,1047671.8955353298
150,1050451.477335874,1047679.5301627922,1047599.507630731
151,1050571.0078950736,1047592.0365811881,1047567.7997170174
152,1050558.3498195517,1047598.2707849672,1047574.1876280861
153,1050554.9280819823,1047630.1532492357,1047545.7187801745
154,1050555.5080369448,1047629.876458671,1047545.4172564738
155,1050552.2767166332,1047622.4516067816,1047556.0636495843
156,1050552.6454181708,1047592.1177093267,1047586.0288455018
157,1050560.6831940582,1047588.122566224,1047582.0089545132
158,1050559.6923758902,1047639.938587426,1047531.1837514788
159,1050560.6863342652,1047585.0647179923,1047585.0636625378
160,1050596.9151876902,1047567.0021250459,1047567.0010503341
161,1050565.0959242664,1047728.7578326889,1047436.9937497687
162,1050565.053627137,1047783.8470753939,1047381.9648778962
163,1050565.8151446076,1047743.7249220832,1047421.3139673682
164,1050575.768292793,1047614.2144334883,1047540.8761906098
165,1050575.8404559472,1047611.0988023104,1047543.9196586339
166,1050576.213551529,1047580.4033969775,1047574.2419683852
167,1050576.2167162972,1047577.3216321518,1047577.3205684422
168,1050568.1788682875,1047581.3290940062,1047581.3280345689
169,1050568.1788682875,1047581.3290940062,1047581.3280345689
170,1050568.1788682875,1047581.3290940062,1047581.3280345689
171,1050573.3436246598,1047581.8298451613,1047575.6772528455
172,1050565.247828179,1047591.9804755801,1047573.5994386105
173,1050383.5662662243,1047684.5196422135,1047662.2491496954
174,1050143.3394629941,1048488.5819586564,1047098.2948248845
175,1050057.0814714914,1048747.555988015,1046925.7211926412
176,1050327.81322934,1047738.5647693266,1047663.8165129685
177,1050326.8861133393,1047731.0626331094,1047672.2429385422
178,1050290.4085803058,1047722.4866926915,1047717.2052941628
179,1050243.8379263738,1047750.7812454406,1047735.3689190043
180,1050238.1836301887,1047748.4557685481,1047743.3351902593
181,1050032.559741809,1047848.4787211565,1047848.4779464621
182,1050052.1482079527,1047838.7050165072,1047838.7042313978
183,1050497.8642622216,1047639.7388080425,1047593.0368725957
184,1050570.0351079744,1047616.7467251725,1047544.0607070539
185,1050554.897816725,1047599.9709438154,1047575.929704841
186,1050556.1088293632,1047587.346987874,1047587.3459348524
187,1050552.6214390155,1047598.0480842097,1047580.1224497745
188,1050551.766736511,1047640.6274496773,1047538.3977868111
189,1050559.9032307458,1047633.7233319171,1047537.1881521324
190,1050559.0712361801,1047655.1823822102,1047516.5610964051
191,1050560.5774533134,1047603.1180662804,1047567.119195202
192,1050294.0256252226,1048632.190504588,1046804.6889097805
193,1050188.8762852985,1048789.3644396549,1046752.6067817712
