,0 pi,2/3 pi,4/3 pi
116,1050327.9083555744,1047701.1429974323,1047701.1420657168
117,1050311.2927748503,1047712.1024833637,1047706.7567756743
118,1050291.7203697106,1047721.8344249286,1047716.5489869592
119,1050269.2950326144,1047732.9852588754,1047727.7688764099
120,1050244.131633947,1047745.498000588,1047740.3591059594
121,1050216.3660916185,1047756.7789438268,1047756.7780714103
122,1050186.1321422823,1047774.3405241134,1047769.3802358877
123,1050153.5934439974,1047790.5227189348,1047785.6626340895
124,1050118.9020963705,1047810.152542079,1047800.6468313431
125,1050082.2523291896,1047826.0048321543,1047821.364448711
126,1050043.2908611412,1047876.6918947545,1047809.557145912
127,1050003.7409683974,1047862.8584040836,1047862.8576447113
128,1050055.1670367797,1047837.1987901372,1047837.1980034227
129,1050093.582426452,1047880.4873465325,1047755.5800274569
130,1050133.2758193235,1047829.0547944338,1047767.4035773216
131,1050168.721091946,1047838.8541216716,1047722.2410818691
132,1050202.5247034708,1047833.131427949,1047694.2392663005
133,1050234.5682577787,1047818.5149336172,1047676.8875928472
134,1050264.5890454578,1047797.146338705,1047668.306362139
135,1050292.7597586007,1047755.3005061048,1047682.0473372284
136,1050317.0760310914,1047743.6909864864,1047669.4006864267
137,1050338.536138809,1047733.445454972,1047658.239854089
138,1050357.0252435787,1047724.6186060727,1047648.6244289137
139,1050372.4449085435,1047717.2573166584,1047640.6054827909
140,1050384.628923377,1047714.2280336133,1047631.4823590217
141,1050393.6796029399,1047709.9213712336,1047626.7618028799
142,1050379.2400667802,1047913.7171491531,1047437.42060621
143,1050009.20529764,1048841.0364228082,1046880.1425856038
144,1050365.1288663063,1047997.6646923065,1047367.5885815908
145,1050395.2430756781,1047748.0436268876,1047587.0846605011
146,1050389.6433475318,1047709.0470446687,1047631.6616941575
147,1050378.9755037783,1047714.1396857651,1047637.2093200809
148,1050365.1233711122,1047720.7525699239,1047644.413002823
149,1050347.9057567166,1047737.0129964118,1047645.3270067128
150,1050328.1697708347,1047738.3945485541,1047663.6310852498
