,0 pi,2/3 pi,4/3 pi
201,1142145.2745047521,969604.3002649775,1041145.2086689079
202,1286103.5325538372,892962.8132666524,1005743.3706635103
203,1109982.9601388385,1014665.0021419219,1023719.9376133688
204,1418831.6177871209,913840.2081106529,896929.3340345521
205,1040824.0450518561,1048957.9644305627,1056001.0024360062
206,1037787.3462873006,1063549.9320543013,1044560.821728386
207,1079612.1346027332,1000720.5990874575,1067109.9286404971
208,1057321.3748373678,1099084.79134922,992094.7325667263
209,1058939.968703481,1029243.1809424718,1057814.9805968804
210,1069570.681006843,1050377.4329600327,1026229.692162301
211,1033757.3015560874,1044485.7623500007,1067773.3434855712
212,1081318.461169429,1028394.6323257092,1036786.500651125
213,1023538.9121147593,1040021.0313715664,1083069.0612718998
214,1018158.8843087011,1032074.5051091844,1097192.1857659186
215,1050191.1896006623,1055836.466865542,1039763.7521888738
216,1026689.7116623463,1109803.6651652856,1011891.2061114213
217,1062025.5074246977,1048738.019023844,1035136.8578782255
218,1048532.1613623123,1034686.4086619068,1062696.4928706507
219,1047144.1259998574,1051782.2304128818,1046809.0118684204
220,1057725.3613558915,1033474.8762512162,1054694.263753861
221,1037507.5675745037,1061756.3860658496,1046607.1463029115
222,1053878.1321122241,1053566.7239615652,1038358.2082612676
223,1061991.2221811723,1058704.254671674,1025422.8465287739
224,939787.3500617913,1148075.3628057851,1068399.1266664802
225,1071722.713741207,1023673.2724685465,1050885.6926312752
226,1060982.4623514102,1068727.9355641864,1016767.0207098144
227,1006630.1874951491,1061373.8688507827,1079084.5464920332
228,1071262.6805421454,1040895.9508959528,1033944.9678062045
229,1032657.5753900663,1057265.4831360877,1055987.9656072666
230,1031103.1061428672,1027613.2623964765,1088111.895976984
231,1051803.1029458062,1057158.9571719822,1036871.3572788496
232,1043730.2862001492,1118977.9723363386,987188.5137920921
233,1064618.974777099,1034205.8606811363,1047125.3543784361
234,1065136.8676833669,1021784.0394987266,1059335.3049485565
235,1031894.9178811742,1069105.9944208323,1045066.6036751092
236,1068646.5485556247,1001282.8420827992,1077454.4358548727
237,1026204.7030880704,1064646.44207484,1055259.9267345502
238,1062263.379844185,1022976.810209393,1060962.7489327441
239,1070644.301067131,1036787.743471544,1038641.4848735514
240,1038641.5857457666,1163271.4091717757,954350.779679316
241,1071072.5662266898,1046293.0154477248,1028792.8210484457
242,1052294.5298589768,1037889.6902790781,1055628.5427422612
243,1043754.5103217658,1040998.6704064781,1061087.9282743845
244,1041239.9836251426,1047896.1764679257,1056648.7972809537
245,1067148.141877596,1019529.9717970444,1059675.3350537077
246,1118110.9941836314,975319.7504213802,1057193.3533917267
247,1035240.9967002032,1053908.2533229098,1056708.6353513652
248,1022532.6904469726,1083226.4559980799,1040892.7994990589
249,1039159.3250043128,1051044.7275438216,1055592.6118375373
250,999796.3989453065,1089932.3990578281,1057991.0085886829
251,1076526.2829007057,1051744.5318843045,1018272.2680628244
252,971375.8439830828,1101026.1047034597,1077886.0573678298
253,1035785.478706339,1048391.6307642141,1061711.1821403422
254,1031365.7240651697,1046324.5733783847,1068368.1290092845
255,1044777.7873925187,1061225.9288810643,1039843.8235887283
