,0 pi,2/3 pi,4/3 pi
36,1085403.2319563783,1002392.4986508524,1059654.0789874303
37,1059766.1657495645,1034544.2603520497,1051575.4536995965
38,1054554.191883578,1039153.9114144873,1052085.1409870593
39,1024930.9978623053,1076091.4328618634,1045338.1108028762
40,1015667.1862221935,1054686.3261073201,1076274.4022439257
41,1040634.211177968,1058224.9287987694,1046944.5976894369
42,1026795.1015946671,1064604.913492332,1054694.5417329445
43,1035005.3158133407,1062652.4356757475,1048252.5924802297
44,1052673.9735303228,1071314.0882477171,1022323.070490996
45,1067438.9862514762,1018990.9047606975,1059946.7235041088
46,1087523.793042421,1025657.9503524415,1033626.4208380512
47,1043458.2895915008,1046067.4716690631,1056245.7780430005
48,897739.159839811,1084720.9983448277,1183335.0489597125
49,1023589.5633013567,1050003.8086339892,1072711.0041915327
50,1032036.518517607,1034903.8119423265,1079462.0506542528
51,1057103.947034917,1050659.7200769056,1038053.8734860256
52,1034496.7322562371,1033238.3816419286,1078630.2214721867
53,1090115.7747122215,1027269.2832251568,1029554.5168926503
54,1075369.0377218544,1062978.1898080003,1008584.3748497338
55,1043069.451799873,1061630.9841432844,1041149.5873179883
56,1036014.6294955302,1059656.2964400644,1050192.098466646
57,1044369.7973295373,1040856.3553175306,1060607.7260637903
58,1075733.6848288272,1027830.5759785833,1042736.8491345104
59,1068272.9174686894,1019244.4693827413,1058856.1793329332
60,1108879.0131216121,987388.9516943374,1052986.5395671963
61,1060694.652860615,1048806.5104484872,1036367.9540868715
62,1042731.5092965667,1046057.3456933667,1056992.2330698431
63,1032242.2441153052,1067693.2971566964,1046096.8610197937
64,1578685.3250204164,1062543.6566900343,693165.6064138043
65,1035520.8735289326,1060093.1979501897,1050259.7978992253
66,1088747.1704748515,1034319.6370905754,1023819.6196123735
67,1009703.7325903049,1064134.4751662265,1073010.232038292
68,987183.8324227644,1074138.703660322,1087225.271843757
69,1076731.883389728,1040405.1803240589,1029180.1165868622
70,1082677.9063498597,1044179.9304990157,1019827.8504455618
71,1087127.8980604475,1014545.0126794972,1045320.8149448457
72,1069621.3630888162,1021772.0196066207,1054907.4602258469
73,1033228.795168411,1040585.8864333794,1072324.9893769368
74,1060823.7790372511,1014598.1051140229,1071171.485539344
75,1036774.3267976142,1049608.5109441413,1059468.6585502343
76,991865.480139879,1011943.0554993477,1148882.8914527975
77,1059519.459877047,1052311.7414731826,1034061.016990162
78,990156.694007603,1098667.6525071017,1059786.0794539747
79,1069879.9597005355,1037486.5215048842,1038683.2254340796
80,1247504.0992545579,1034770.937679391,893704.9231114503
81,1056950.43815455,1052650.3726315494,1036241.0947813897
82,1077115.201704343,1062842.39296097,1007076.7644792661
83,1019233.0313662967,1055149.521643631,1072039.042397261
84,1040481.0089391663,1094046.4327502567,1012826.6787270792
85,1040376.9116318525,1054597.6875873753,1050805.115599895
86,1027436.8166165721,1036219.0751170331,1082920.3309551624
87,1076756.6519404103,1015849.4110323882,1054025.3537426004
88,1070474.409464904,1048722.4066272285,1026982.1705067746
89,1050989.05672368,1063451.270376038,1031534.4319602295
90,1026331.1622297002,1074722.1337350388,1045241.8838183484
91,1018512.395566214,1080581.10976375,1047554.270298311
92,1020788.3480704449,1127170.7776909515,1002109.1333578804
93,1048805.9317751352,1042879.8662442142,1054072.102365356
94,1050343.979059211,1057128.1407695843,1038342.1845296696
95,1062580.8662251646,1030689.3522999663,1052712.0088600875
96,1375470.6347379135,954366.0551538966,883369.1012129979
97,1056087.3586706806,1041560.9522415847,1048130.1524472449
98,1073492.2464077396,1075249.2360818328,998802.5871674953
99,1025052.2365634296,1038551.1271035341,1083001.4053093647
