,0 pi,2/3 pi,4/3 pi
0,997076.947736779,1143732.8598463512,1011161.8066077497
1,1054191.1651522897,1048018.9351632156,1043545.1507362521
2,1028759.8852478899,1050341.2264918056,1066977.0547587164
3,1037420.2575698621,1049401.5465108075,1059017.852221937
4,1055429.661154337,1028115.864417418,1062496.8758905174
5,1044885.5011713569,1044589.1610245921,1056295.8286771968
6,1045886.0783362385,1063521.817120885,1036499.6059245528
7,1034798.1847701396,1047540.996157942,1063587.2906863764
8,960561.3275041694,1067101.7075864475,1124677.0672016586
9,1096163.408723633,1014033.9645917247,1037240.2022299895
10,1130988.0965305998,968546.0752380609,1052487.429579269
11,1069079.0959893083,1058970.1443411398,1018365.8398609858
12,1279275.036394192,865251.9288314314,1042353.9664187857
13,1060543.3648887384,1042326.6345645862,1042959.9525819059
14,1078333.7174838746,1015647.5747642522,1052693.9262561626
15,1040900.6165908157,1064243.423983082,1040758.2371969743
16,1105404.0464743082,957832.2347844611,1088720.403526449
17,1004891.5797122758,1062163.396163534,1080145.9180769895
18,961092.9959725449,1104614.5417190494,1085823.4473111855
19,1034126.2902143266,1040763.8217057528,1071210.8287896728
20,850621.1899300257,1205395.4903818003,1122561.8961347137
21,1028266.5745060889,1065724.0301453145,1052080.1303891526
22,1007981.7023172373,1099771.5055101817,1040044.378745468
23,1053339.9027399183,1031149.3810163799,1061473.6601371272
24,697548.8462025796,1263717.615716253,1291632.5619433452
25,1043427.1748346111,1043001.1216124936,1059382.852232739
26,1073951.4470148785,1035688.6772371174,1036543.1205299444
27,1049055.1073700103,1064211.882741871,1032697.9052394077
28,1022577.0951209642,1044631.472991349,1079299.1619053774
29,1067741.4926850908,1045666.7233586183,1032620.3499879529
30,1082159.748467632,1016098.0842686332,1048510.7816137769
31,1071080.36968023,1039239.0496592735,1035769.8229398382
32,1126005.3692630522,1046770.9633497999,978171.2744222716
33,1046570.6458087435,1048142.0027974799,1051020.2074754178
34,1047093.0501500309,1047723.9828435398,1050914.9704601427
35,1054134.6266866254,1038550.5934009893,1053115.2640599366
36,1065472.589947837,1040859.4664319181,1039598.8923689264
37,1046100.024626832,1054008.2142543653,1045640.8632064518
38,1040837.0542585198,1049851.9825055362,1055088.5216523765
39,1045704.942781617,1053828.3692666173,1046214.4324546847
40,1064726.5594681369,1023539.2356743575,1057927.1458878778
41,1044172.6572447006,1056362.0190954392,1045236.7927056311
42,1039848.1740516555,1058438.7686262154,1047524.2906471615
43,1040585.9495477345,1057703.9091069545,1047508.8547523884
44,1033230.257717498,1058537.1064080312,1054134.9711042903
45,1047953.6742841091,1050184.0212620792,1047592.183628593
46,1050287.6877951152,1059628.03758433,1035947.9533109018
47,1045973.6076920511,1053749.2236694065,1046024.2640230487
48,1065728.2196166613,1073032.717234862,1008170.8035354626
49,1051155.2229024721,1044132.5834824842,1050454.4629175032
50,1052657.5131920718,1048705.7019213845,1044381.1272598223
51,1055524.9813519495,1048214.4746031862,1042032.0514653571
52,1051108.1596815274,1043865.8550757235,1050769.9166026688
53,1048721.3595368678,1046129.0369054764,1050883.0066126373
54,1050540.3673814798,1039673.6309681626,1055577.0031090314
55,1042665.8391341163,1049991.3121638347,1053098.2111699479
56,1044795.7382125928,1040495.7883369976,1060542.702472546
57,1046276.0168921705,1047195.7269545669,1052266.1803141702
58,1045620.1471539496,1050918.6684295249,1049196.1508797824
