,0 pi,2/3 pi,4/3 pi
0,998055.9887513258,1068036.221772568,1081551.3011767399
1,1030370.0665148004,1033464.3399370277,1082716.207496646
2,982567.2347867626,1031233.7804262184,1137951.222888426
3,1199371.7483383191,903615.7005001792,1063642.3324187975
4,1097776.8951347969,965785.5514119394,1087299.0273857804
5,882652.647680007,1172956.2369716307,1112492.034674011
6,689919.1901157112,1299122.1023866874,1269145.5689838806
7,1025664.1129820545,1045106.9046094652,1075560.1882413612
8,1063916.6485781842,1147463.31330837,944292.9637548191
9,1051817.84661153,1028139.5194826483,1066121.5694899787
10,1085403.2319563783,1002392.4986508524,1059654.0789874303
11,1054554.191883578,1039153.9114144873,1052085.1409870593
12,1015667.1862221935,1054686.3261073201,1076274.4022439257
13,1026795.1015946671,1064604.913492332,1054694.5417329445
14,1052673.9735303228,1071314.0882477171,1022323.070490996
15,1087523.793042421,1025657.9503524415,1033626.4208380512
16,1578685.3250204164,1062543.6566900343,693165.6064138043
17,1088747.1704748515,1034319.6370905754,1023819.6196123735
18,987183.8324227644,1074138.703660322,1087225.271843757
19,1082677.9063498597,1044179.9304990157,1019827.8504455618
20,1069621.3630888162,1021772.0196066207,1054907.4602258469
21,1060823.7790372511,1014598.1051140229,1071171.485539344
22,991865.480139879,1011943.0554993477,1148882.8914527975
23,990156.694007603,1098667.6525071017,1059786.0794539747
24,1375470.6347379135,954366.0551538966,883369.1012129979
25,1073492.2464077396,1075249.2360818328,998802.5871674953
26,1016925.5586908227,1099803.6486405772,1030876.632052269
27,1026052.8602959496,1011216.5552300763,1111237.044577488
28,1081352.1592356954,1011034.6327113971,1054542.239768006
29,1003424.7650895206,1114350.3628187538,1031131.3958051573
30,957640.45876149,1198939.6341925452,1004749.1395855242
31,1059717.6919244702,1056115.3957472984,1030143.2142287064
32,1898790.381109023,1357260.2173921948,421981.3069749244
33,982097.61659899,1066907.701458138,1100262.1030995338
34,1021482.1262303665,1072378.5417621334,1052494.7851605532
35,1060083.221382767,1081687.9059663322,1005430.1357071362
36,1038125.0839039568,1036688.2884791589,1071279.865996007
37,1057402.0024415476,1089581.8801946437,1000676.4990059177
38,1230122.3364672533,1101090.517735555,850124.0793763292
39,1094048.779200031,1024244.1847920903,1028887.8307272409
40,1232582.5726481252,773055.6579685957,1203199.4966782317
41,1063682.0842629347,1028573.763260971,1053784.6624259849
42,1091939.7160736015,1036680.6626135745,1018502.6877163097
43,1007276.1724425175,1110915.302843366,1030359.8936583446
44,1072377.387966711,1017209.7643268699,1056913.1599774677
45,1089581.1931419556,1015937.016840964,1041542.8369922538
46,1098277.5544752625,970995.3977719859,1081000.9673647874
47,1042937.2279145934,1053691.240596952,1049127.3144661968
48,1764749.332404184,358977.184569548,1577774.5788595267
49,1036119.3570820888,1050764.8125044976,1058971.6335508788
50,1127185.8864558288,1027890.5843632395,995159.5222874233
51,923967.7481711047,1209198.4531197646,1032331.6510559053
52,989965.6432098433,1169980.4982419733,995762.2127387283
53,1259286.694455917,897348.2165916152,1021357.1845109205
54,1439121.4860278447,805965.3839349481,1000922.1239767919
55,1032995.9575202053,1062834.6603062828,1050111.190561961
56,983799.4422085234,1148405.5517517403,1020640.0277846438
57,1059007.1381380681,1075795.0103624875,1011969.8069479474
58,1078086.9748303022,1052930.5614040724,1015651.542214575
59,1043189.8801980654,1018656.800397091,1084952.8000031225
60,1046970.0673715301,1112917.617669998,989478.8147861125
61,1039702.9728053333,1027987.6219217161,1078709.992984902
62,1034039.6410984341,1010218.1178981957,1103721.8708195633
63,1064349.4005998967,1021911.8221946647,1059986.4760538433
