,0 pi,2/3 pi,4/3 pi
0,1056664.8691775782,1044639.9269723016,1044469.8301231983
1,1056628.6916482025,1044657.8339100166,1044487.6854329109
2,1056628.6916482025,1044657.8339100166,1044487.6854329109
3,1056632.1220323557,1044656.0522331471,1044486.0760100653
4,1056587.0961894097,1044677.9518648227,1044508.6876739006
5,1056603.8109539559,1044669.9102440368,1044500.2052231143
6,1056606.0829946087,1044668.7623753931,1044499.106993712
7,1056589.3798487843,1044676.8473025097,1044507.534606068
8,1056573.2586249043,1044684.6447757247,1044515.674764215
9,1056579.605009536,1044681.6426437957,1044512.402752696
10,1056572.6770109455,1044684.9199072925,1044515.9746289192
11,1056573.2586249043,1044684.6447757247,1044515.674764215
12,1056571.4392570718,1044685.5434133282,1044516.5748011055
13,1056514.422741534,1044713.1407265397,1044545.347784108
14,1056566.2883184226,1044688.02824465,1044519.1823379492
15,1056560.9316545133,1044678.3322286237,1044534.1723229199
16,1056623.9094738734,1044702.8214609242,1044447.433914683
17,1056599.3637488827,1044590.341069446,1044584.1640057926
18,1056599.6806333004,1044678.7604787847,1044495.439301321
19,1056589.5440642757,1044598.2724762814,1044585.9403159356
20,1056555.475619656,1044608.9489703762,1044608.9447329371
21,1056575.6264486331,1044598.9880606935,1044598.9838125737
22,1056570.4047041032,1044613.7185924512,1044589.4157693244
23,1056388.7647196304,1045263.8218324381,1044119.2214561506
24,1055988.5707286585,1045347.7862655418,1044431.0049767061
25,1055978.9860352,1044896.7347934211,1044891.3404326653
26,1056403.8417361716,1044686.9281766133,1044680.8946361649
27,1056539.3623613124,1044623.0357857349,1044610.7885097744
28,1056532.9536053513,1044623.1350998353,1044617.0253606349
29,1056481.6620646901,1044651.5177586103,1044639.3556045111
30,1056516.737148359,1044646.2418416443,1044609.9520256058
31,1056516.3363363899,1044733.9686163533,1044522.6318313783
32,1056616.4607729218,1044806.6884643865,1044350.9642238929
33,1056565.0342821612,1045079.1897492845,1044129.4680790419
34,1056582.6203128325,1044836.3951426588,1044354.7175869225
35,1056585.7488799398,1044715.9579468236,1044472.0208789014
36,1056554.8482591629,1044694.235252555,1044524.2855511612
37,1056559.4442109603,1044695.0269720309,1044518.9505582913
38,1056348.6933841787,1044822.2105535292,1044600.1603610695
39,1054910.3565050834,1048243.460886819,1042610.3379950296
40,1055667.760522325,1045506.2526020267,1044590.0376146091
41,1055517.6943713208,1045208.4349917962,1045036.2301833808
42,1055153.7756008713,1045386.5450842314,1045218.5364005783
43,1055853.8988060264,1045031.4116734344,1044880.4495566464
44,1056521.4590627782,1044728.3899397345,1044523.145056699
45,1056499.7009540747,1044720.9090696545,1044552.1352228038
46,1056508.2091209136,1044737.801598572,1044526.8342803866
47,1056523.282358562,1044766.558712822,1044483.1826645375
48,1049822.3710528514,1046918.1578838251,1048989.6039311269
49,1049143.047594194,1047725.0239463766,1048860.4656755407
50,1049670.9446567893,1047190.0514659252,1048868.5322984532
51,1049865.8626831125,1046839.9507177552,1049024.5129803107
52,1049895.9937004582,1047123.359664154,1048710.4922976752
53,1049621.1777976528,1047411.0177652229,1048696.979466787
