,0 pi,2/3 pi,4/3 pi
0,1071919.1336593963,1037317.1834849853,1036877.1939495982
1,1074006.5073837766,1036301.3102759685,1035877.2627052824
2,1075484.6575469312,1035518.3092682774,1035236.4108097621
3,1076170.3134295945,1035734.3464254113,1034361.3620165625
4,1076132.349733387,1035664.2692030746,1034467.8275433012
5,1075338.0200496276,1035596.0264451175,1035299.809715137
6,1073777.1617554638,1036339.4045995639,1036060.3317707174
7,1071625.4175089663,1037442.8151857965,1037035.6843736325
8,1062371.8707350988,1040971.9144707689,1042520.0260459518
9,1064169.8692447653,1039402.2163823424,1042330.59033117
10,1065063.2306104857,1039171.3665314658,1041687.8143299398
11,1068558.4014035803,1044831.9196742548,1032655.6052244874
12,1065422.737868065,1042242.0332473973,1038268.3477230862
13,1062761.607438453,1041614.9039152559,1041494.4586037268
14,1062902.6811131667,1040652.5187550841,1042319.2725068061
15,1072635.2349320045,1039737.9354036548,1033772.5589807683
16,1037179.7405154479,1060879.0419343507,1047803.6046359799
17,1038535.182306853,1062979.4803322076,1044368.7724348195
18,1034834.3226844142,1064070.6936561794,1047028.6432592846
19,1065079.7861928088,1046535.1221177703,1034341.5643511781
20,1052149.4416279022,1058221.8674214908,1035488.8134088132
21,1038316.4634107656,1071285.5622862796,1036491.6932383131
22,1037597.0924665863,1067818.4986541239,1040576.9446521612
23,1037731.7840876164,1074200.7547810348,1034262.301115093
24,1031680.1502841801,1075699.8800451949,1038879.6902076543
25,1035242.098185966,1078581.697613806,1032540.8418973224
26,1044616.8255197183,1073331.1489996603,1028276.1714210667
27,1081192.6330337648,1033794.1027035787,1031491.8205632563
28,1064623.0762676527,1054865.6860643867,1026610.926141828
29,1038531.954920912,1079472.5849509344,1028420.3902990299
30,1037951.6974409005,1077962.9106598545,1030435.8560748219
31,1033943.33758428,1075693.8545234797,1036611.7739829012
32,1023098.9885901951,1065561.9389137633,1057552.5403823487
33,1021766.8907833021,1071124.0524719222,1053433.3982517251
34,1055105.2952696097,1059231.1540048192,1031603.3709393096
35,1081275.342074694,1032885.7345052636,1032320.0863041454
36,1077591.4086404613,1039898.3891598261,1028860.833948612
37,1031168.7315854992,1079222.235273261,1036004.6504567503
38,1028837.5747981068,1077157.1992618262,1040340.8050595622
39,1025909.2278434546,1072179.5111641116,1048149.9549609859
40,1024324.1044220158,1052831.6108695413,1069061.442508797
41,1020859.3463525855,1059785.1047732125,1065648.709559776
42,1046871.2721047683,1056842.1534247412,1042068.733126649
43,1055680.3171771092,1049935.208626404,1040171.1060302263
44,1051339.1838584484,1053462.208704221,1040969.2236433552
45,1025829.2367985857,1068040.0777327623,1052292.6149213947
46,1020864.4069236818,1063278.1433881905,1062142.4095448987
47,1024652.9102122725,1056909.5814703612,1064593.8381613616
48,1033275.9849566229,1040019.8563253855,1072859.8543072564
49,1029557.4139052895,1047527.9098588438,1069014.8502793096
50,1025176.1610604369,1053597.2656416462,1067396.560308813
51,1024215.2343349991,1054110.0148454753,1067877.9486957602
52,1034465.9434980848,1037153.7695400438,1074588.0378018103
53,1034186.2854752115,1036771.0076866786,1075275.7798801907
54,1030257.6940255759,1042719.9031708541,1073216.2360394984
55,1032564.868439114,1041528.3137686535,1072043.3173061796
56,1044839.4045839868,1031318.5797077222,1069936.2243482627
57,1047555.1758674125,1028028.396820797,1070577.0277719812
58,1052984.7302906604,1024099.9265891094,1069139.8764692901
59,1046525.1927975429,1026738.9862230043,1072977.0818026036
60,1048731.8385233611,1026001.975645196,1071487.456999959
61,1049906.538168376,1025632.0541808737,1070674.084983372
62,1043541.2225110453,1030781.6402294383,1071825.9407802387
63,1043547.9660350294,1032401.3209689423,1070137.1718331643
