,0 pi,2/3 pi,4/3 pi
0,998055.9887513258,1068036.221772568,1081551.3011767399
1,1052841.3533081505,1043670.1009946301,1049236.9055671238
2,1033449.834645133,1046852.1805257518,1065675.9233104764
3,1035878.4928892952,1057113.424688585,1052856.4512559199
4,1030370.0665148004,1033464.3399370277,1082716.207496646
5,1040706.0441000324,1052998.6121820824,1052068.018224257
6,1035290.0441979815,1079537.9814525642,1031578.946159193
7,1044283.3876861089,1043833.4424514854,1057670.1165530703
8,982567.2347867626,1031233.7804262184,1137951.222888426
9,1084713.7461777797,1014481.648527804,1047709.7493459408
10,1096157.2807031386,987973.756742097,1064548.018378165
11,1060271.2512217492,1061217.2922459592,1024653.7321134316
12,1199371.7483383191,903615.7005001792,1063642.3324187975
13,1063549.1946140213,1046873.5955802514,1035495.083075785
14,1074260.6920831064,1032185.3661025045,1039761.6270059956
15,1045348.4546720189,1060715.7566948454,1039775.9537796108
16,1097776.8951347969,965785.5514119394,1087299.0273857804
17,1006221.8323654612,1064825.6517145005,1076020.6852353413
18,967024.2502992984,1096861.2113253481,1086819.012379132
19,1043425.7987554113,1033933.3001921932,1068676.4271049814
20,882652.647680007,1172956.2369716307,1112492.034674011
21,1026239.318738829,1056819.7942870394,1063038.9211540837
22,1021352.997117838,1071812.3292927137,1053183.5728409628
23,1046219.522184583,1037532.8480033634,1062123.94702011
24,689919.1901157112,1299122.1023866874,1269145.5689838806
25,1040879.8378323603,1050584.661136803,1054309.342317174
26,1056234.5100331,1047274.9578315064,1042266.2907893572
27,1048944.0008966692,1055797.9425653077,1041038.0847851641
28,1025664.1129820545,1045106.9046094652,1075560.1882413612
29,1078430.8052649645,1031490.1246338901,1036441.4304974094
30,1113842.0399419796,984755.8617603015,1051103.9603440976
31,1062884.091968265,1045081.9872521082,1037919.5069664299
32,1133065.5934432512,1050831.6102945742,968303.0776093812
33,1046625.7465984346,1048971.8955810745,1050133.4027699926
34,1047362.2939145262,1049502.378020156,1048864.4793784358
35,1054911.1815586865,1038479.3876681484,1052412.1943716162
36,1066840.067696465,1044456.316094982,1034690.6948492589
37,1048620.3852988149,1053120.978129326,1044006.44415191
38,1043487.1118101473,1047527.9445357249,1054743.9564608147
39,1047319.4952531435,1049055.2578549588,1049354.3981654022
40,1059235.2218397944,1034965.2492535713,1051674.6168434334
41,1045090.4052841363,1054982.7401322906,1045684.2076611634
42,1042255.5247493548,1058455.2315299204,1045088.6299028175
43,1040908.351537695,1056457.3020710663,1048420.0107758527
44,1031708.2250905943,1055994.4601128548,1058231.6771811189
45,1050084.2615819997,1049046.9531015786,1046599.8379626371
46,1053170.0791392457,1057139.5097048257,1035544.418279467
47,1045773.9333298521,1053773.9630871003,1046199.4242549496
48,1076845.9457289174,1061316.78295437,1008778.7492644278
49,1051394.0939868449,1045821.8670276618,1048519.4443058588
50,1051502.894951252,1050065.512488542,1044173.9754531311
51,1054973.0657055662,1051052.899181123,1039761.5211860536
52,1054910.1168892388,1046281.2760522391,1044565.9169390468
53,1046884.995890562,1046680.1193825878,1052172.1286782664
54,1048707.0305314292,1042333.5084907752,1054724.0745581007
55,1041701.4281428654,1050634.8645540145,1053427.4868553183
56,1055605.407257401,1037605.5349959956,1052605.7494232848
57,1046160.9822205829,1046198.5487225513,1053384.9727310815
58,1046240.2726575905,1048846.9099070637,1050645.4960762397
59,1050989.4398985822,1043488.8890644406,1051268.2445383144
60,1059734.9834261725,1036229.5437877224,1049896.3650940068
61,1050845.2036049885,1049698.1216223391,1045193.1871934538
62,1052278.7651270244,1053340.9988009816,1040159.3789179742
63,1051020.0523235758,1043227.3027336923,1051501.2150761343
64,1165768.8348739299,1019472.2243267639,970342.8043057544
65,1050213.1132907823,1035753.4128691535,1059902.3209577051
66,1045813.4611087557,1046158.3015763934,1053775.5550060163
67,1054276.3785736838,1046424.5650962883,1045050.6839237253
68,1078898.1656225247,1010669.4572845517,1057320.21317834
69,1040172.1548363728,1057459.0767128058,1048168.1501668134
70,1047464.3162323016,1052487.2961905978,1045787.978105586
71,1040713.6999468434,1065625.9963313297,1039594.8528514478
72,1079566.2052612007,1021042.4462899045,1045941.9887906748
73,1052771.6139909911,1055972.5028756664,1037081.3652858865
74,1058346.03200736,1039051.0280433821,1048419.7272234523
75,1059125.1690804188,1042914.8564069414,1043767.3462349295
76,1062682.5323281756,1041206.9259696308,1041980.0656262157
77,1047146.7607598089,1050788.668741872,1047796.1690737789
78,1038299.9732533449,1052052.7044431495,1055453.9951674016
79,1036692.1822990462,1049454.9463129838,1059707.6653853122
80,1049783.4445575525,1049526.9109995293,1046420.9852779267
81,1041480.8127770412,1047401.5966255529,1056903.3184236728
82,1037449.5794417555,1056380.8625497234,1051991.1963127556
83,1052717.0774432907,1043801.2135486461,1049228.960517703
84,1014731.281966494,1080575.2198879654,1051459.7498809223
85,1049211.6354112134,1045853.7389579284,1050668.4397207645
86,1051725.0560231074,1050332.9528511893,1043687.5863794974
87,1051216.793667453,1045074.7179543772,1049446.0201965647
88,964413.9353529498,1102394.8408688668,1084281.2587938395
89,1041401.2781286468,1053553.296825374,1050812.1680960923
90,1042549.831513091,1052587.086093847,1050618.0586347368
91,1050877.1067793441,1048266.54586783,1046588.8009202546
92,1050206.0972323483,1036033.6338304451,1059622.733419736
93,1058694.8190412575,1045421.5597966366,1041687.8131476298
94,1059721.267210508,1045608.6825458381,1040492.6355445101
95,1052041.116192295,1043477.673541699,1050228.6323349809
96,1008202.977567489,953828.4601786643,1199588.4218089818
97,1059904.7019873164,1044512.2280020859,1041404.6630763138
98,1040310.940803798,1054251.1921100968,1051217.1240620203
99,1050219.722188975,1054819.9049669413,1040737.5484349465
100,1024890.9521828562,1015025.6167221875,1108316.4671577653
101,1053061.9651638784,1052829.610937533,1039890.6173865307
102,1053787.248630474,1058163.58324769,1033936.143644132
103,1054067.8101772303,1062211.1731874757,1029721.5497951668
104,1057286.0987814623,1044424.8303657327,1044071.1398096409
105,1043537.3220730796,1060637.5392062287,1041657.4382061092
106,1056836.7272132454,1051576.4638258023,1037411.0798794155
107,1045585.679743308,1051503.5975051282,1048647.0759233488
108,1064527.4255646898,1082275.239048893,1000681.4989291864
109,1047798.7032269092,1048336.6525964108,1049593.453220703
110,1048460.1634021099,1047795.9461905621,1049472.5702531983
111,1053845.55065545,1047807.0922232687,1044098.4397359862
112,1071196.6147931707,997555.3790171633,1078899.1164781174
113,1057863.0160997938,1038389.703107269,1049566.3506544787
114,1047822.3265986071,1036023.8087447712,1062043.749474337
115,1050151.4218793518,1045400.1898578126,1050183.61336024
116,1056424.0783359916,1051756.663611702,1037638.4937957784
117,1049230.6290438918,1043757.9232110936,1052759.0649722887
118,1066691.3562229692,1028781.0343809681,1050600.8715250464
119,1046286.9561983775,1042871.9400541255,1056617.9548867152
120,1074544.842987772,1041629.2744506544,1030061.8690265192
121,1036794.2849102498,1047381.3586360757,1061701.3699312883
122,1052696.1675621022,1044749.5453961602,1048297.4004322577
123,1039341.4182278345,1050298.133682128,1056157.9363263906
124,1037309.9927741255,1052304.7406835507,1056208.1923187356
125,1048160.0156038399,1041391.5555907846,1056229.0513892444
126,1041584.1437350026,1050947.3510619416,1053232.8378382307
127,1045831.1928138153,1044702.6262049767,1055226.0143169286
128,1063916.6485781842,1147463.31330837,944292.9637548191
129,1053329.1952654156,1043834.8366382846,1048585.459829267
130,1030442.8095810808,1067137.8258353262,1048468.4339108207
131,1037652.5445092216,1056483.926933805,1051682.846163755
132,1051817.84661153,1028139.5194826483,1066121.5694899787
133,1063451.2740777812,1049951.205048175,1032554.327140007
134,1056571.4864833616,1073180.6701408387,1016777.0614590403
135,1061899.1905025558,1048340.7668889458,1035652.3485377253
136,1085403.2319563783,1002392.4986508524,1059654.0789874303
137,1051762.3101548585,1036344.6813760054,1057737.2045753044
138,1059766.1657495645,1034544.2603520497,1051575.4536995965
139,1058077.689414316,1053051.2524411415,1034742.8997694323
140,1054554.191883578,1039153.9114144873,1052085.1409870593
141,1031981.4764654927,1052617.3442373588,1061346.0298942223
142,1024930.9978623053,1076091.4328618634,1045338.1108028762
143,1052680.8566488314,1049263.783247057,1043802.4856663343
144,1015667.1862221935,1054686.3261073201,1076274.4022439257
145,1052800.4345036868,1054637.5581563723,1038365.7461068976
146,1040634.211177968,1058224.9287987694,1046944.5976894369
147,1034032.3400783547,1057951.6857959777,1053900.2628260807
148,1026795.1015946671,1064604.913492332,1054694.5417329445
149,1051606.148998909,1058048.131112329,1036193.9842113225
150,1035005.3158133407,1062652.4356757475,1048252.5924802297
151,1041117.0562974308,1044115.5889435951,1060600.3121095346
152,1052673.9735303228,1071314.0882477171,1022323.070490996
153,1045991.8139406391,1048923.18009079,1050818.6459994705
154,1067438.9862514762,1018990.9047606975,1059946.7235041088
155,1051238.2149495336,1043239.4477538763,1051270.7591669476
156,1087523.793042421,1025657.9503524415,1033626.4208380512
157,1029667.6404092547,1063403.4986999785,1052941.250976444
158,1043458.2895915008,1046067.4716690631,1056245.7780430005
159,1043925.6678084017,1043883.290421953,1057982.0412093285
160,987234.7679399346,983768.116583646,1187728.3852156245
161,1052895.8665494327,1047763.8779587112,1045083.2852893941
162,1037743.4482757801,1050690.5266257573,1057389.14645068
163,1051434.764557451,1054577.7814905543,1039773.4741882038
164,1039020.1257877434,1021184.4065685064,1086614.5416129131
165,1054123.14790246,1057809.867778126,1033952.2833633556
166,1050440.7645154682,1062783.2971674444,1032721.6945103172
167,1052675.009946605,1064738.5435111464,1028636.5859656447
168,1046624.6352716445,1052407.882578187,1046705.9669102187
169,1048728.296367015,1051334.7494362989,1045672.6138818355
170,1077352.414157973,1042459.9018415224,1026559.4517949618
171,1051411.9439461972,1051480.7668892688,1042858.7339110565
172,1077054.3289427427,1076925.3941047492,993940.8235359514
173,1042237.7182789411,1052572.4917109408,1050947.2434151827
174,1039133.9181476382,1052088.5473913895,1054571.0663288073
175,1045099.2270623996,1044941.9928367462,1055723.19900114
176,1055672.1075095027,1007803.8845775564,1083655.1541417288
177,1052710.4522898046,1042585.7166033618,1050458.7828108068
178,1045250.9557468587,1042943.219488633,1057592.9950912206
179,1055124.9432347377,1042989.5648955579,1047649.233382581
180,1058041.7094998795,1047214.5728488183,1040546.0713706285
181,1048749.031072321,1046924.1376361549,1050057.1928367922
182,1055172.771554335,1042150.7035386162,1048444.9694972802
183,1052442.6388869341,1045829.4829281081,1047467.190511453
184,1062310.870278726,1041926.9513538224,1041624.2541463084
185,1043127.7251121213,1047053.2612548561,1055585.703185486
186,1051639.8441998726,1054070.279431126,1040071.236497821
187,1039940.9776381607,1051753.3020987653,1054088.5786520042
188,1023421.458956831,1062738.1749668103,1060028.2283938979
189,1050399.9345998785,1041050.3324109141,1054322.0688610082
190,1038526.6904416588,1050855.883197303,1056425.4387034727
191,1043138.4560759931,1036837.042365273,1065976.6803181996
192,897739.159839811,1084720.9983448277,1183335.0489597125
193,1050470.6215047599,1048628.1303975207,1046632.7616624717
194,1023589.5633013567,1050003.8086339892,1072711.0041915327
195,1050448.1834216928,1043032.8550495944,1052269.7903174204
196,1032036.518517607,1034903.8119423265,1079462.0506542528
197,1064219.825161728,1047774.301189117,1033952.8339302292
198,1057103.947034917,1050659.7200769056,1038053.8734860256
199,1050551.193305354,1066215.294544364,1029289.0968757367
200,1034496.7322562371,1033238.3816419286,1078630.2214721867
201,1051737.3534046477,1052731.7943354493,1041297.1167420833
202,1090115.7747122215,1027269.2832251568,1029554.5168926503
203,1045246.8248463288,1058387.3507874317,1042164.6109618832
204,1075369.0377218544,1062978.1898080003,1008584.3748497338
205,1046083.5052984582,1057851.1524611204,1041858.8404899002
206,1043069.451799873,1061630.9841432844,1041149.5873179883
207,1045233.2233027457,1046716.5663948281,1053798.1911127437
208,1036014.6294955302,1059656.2964400644,1050192.098466646
209,1053168.101646228,1040125.168610726,1052486.129058558
210,1044369.7973295373,1040856.3553175306,1060607.7260637903
211,1069175.3556912309,1024624.9022880404,1052410.594448975
212,1075733.6848288272,1027830.5759785833,1042736.8491345104
213,1051364.983640677,1038467.0811561355,1055974.472192736
214,1068272.9174686894,1019244.4693827413,1058856.1793329332
215,1050429.7058548187,1044017.8074872397,1051295.5591326735
216,1108879.0131216121,987388.9516943374,1052986.5395671963
217,1034605.7723978657,1048105.6606926544,1063211.8720249669
218,1060694.652860615,1048806.5104484872,1036367.9540868715
219,1032338.6489044355,1066502.932911834,1047166.3156780038
220,1042731.5092965667,1046057.3456933667,1056992.2330698431
221,1041146.1709282574,1050925.7178105053,1053697.5739115865
222,1032242.2441153052,1067693.2971566964,1046096.8610197937
223,1033768.3947558949,1039034.0456551892,1073366.5483828615
224,1152674.979752538,1006621.7458789983,993856.850854507
225,1041792.7396376231,1054629.2797919628,1049345.6756868442
226,1050400.7687137537,1049121.4620075563,1046210.1678463625
227,1052000.4418341082,1038583.2558688028,1055218.5474334
228,1073262.4382243573,1037556.9349300612,1035340.6189628384
229,1029886.9484908802,1061655.1934413002,1054450.4223214264
230,1033362.3427452139,1052900.5889961736,1059642.747228954
231,1039766.9782618586,1053417.0395330195,1052599.8794850283
232,1059848.468830708,1044330.8170254965,1041640.8313900165
233,1052280.731480805,1054930.0641337244,1038590.5451268327
234,1046107.7184211273,1057631.3241296217,1042051.262051107
235,1033797.4811225043,1058119.7614852344,1053972.2137084971
236,1030357.7835908477,1072255.9747090093,1043551.8935302416
237,1058504.700733639,1044531.4713331991,1042762.7477025107
238,1060431.6723619106,1043418.1428420607,1041978.6458855355
239,1043721.906171134,1050686.6364711402,1051336.4504051523
240,1097675.6646665996,1046484.2415477874,1003680.1500135958
241,1046610.5176645336,1048789.5740170146,1050331.2412207455
242,1052157.2775388362,1047309.3773998988,1046270.7597268648
243,1059785.6200146708,1047675.5571901381,1038376.7278021353
244,1048947.4700123705,1045318.0373869734,1051471.6177784784
245,1037688.8696002115,1049667.717218952,1058475.2266144755
246,1042576.7124919584,1041200.8662290496,1062080.478301402
247,1049301.7972160564,1047979.9021773997,1048446.7291997464
248,1058264.9003861477,1023629.8613699574,1064292.4907929641
249,1051966.081812267,1043733.8591051233,1050045.7492842663
250,1039637.9069617151,1057158.5421944559,1049004.8558135133
251,1044075.9967272205,1047627.7518001127,1054048.6171575394
252,1049823.2921211987,1039944.111330148,1056023.3132247862
253,1058569.4018667692,1044476.5127035886,1042753.8824246888
