Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
0,56,255,52
1,112,111,114
2,108,120,110
3,107,117,114
4,118,115,105
5,113,109,116
6,104,108,126
7,105,112,121
8,107,145,87
9,103,100,135
10,88,84,170
11,124,108,106
12,58,52,252
13,112,106,120
14,109,95,134
15,117,119,102
16,73,123,145
17,116,117,105
18,128,124,87
19,104,116,117
20,151,139,53
21,117,118,103
22,129,128,81
23,115,106,117
24,120,157,65
25,112,112,114
26,116,103,119
27,124,111,103
28,101,100,138
29,124,108,105
30,134,108,96
31,121,112,104
32,121,102,114
33,112,113,113
34,111,111,116
35,116,111,111
36,114,113,111
37,111,114,112
38,112,117,109
39,115,111,111
40,112,112,114
41,114,115,109
42,117,115,106
43,115,113,110
44,111,113,114
45,115,115,108
46,116,114,108
47,112,113,112
48,122,110,106
49,114,113,111
50,107,111,119
51,113,107,118
52,114,116,108
53,108,114,116
54,108,113,116
55,112,111,115
56,111,113,113
57,111,114,113
58,113,114,110
59,109,113,116
60,111,110,117
61,113,114,111
62,113,108,116
63,112,112,113
64,91,112,137
65,108,110,120
66,114,113,110
67,115,110,113
68,110,114,114
69,114,114,109
70,115,118,104
71,117,117,104
72,110,112,116
73,112,114,112
74,111,113,113
75,116,113,109
76,109,115,114
77,109,112,116
78,113,112,113
79,115,111,112
80,109,104,125
81,114,114,110
82,112,115,111
83,110,113,114
84,120,111,107
85,115,117,106
86,114,112,111
87,111,113,114
88,125,115,97
89,120,112,106
90,114,111,113
91,113,113,112
92,114,112,112
93,114,111,113
94,107,107,125
95,109,111,118
96,97,132,110
97,113,108,116
98,114,117,107
99,112,113,113
100,106,119,114
101,117,107,113
102,118,107,113
103,115,114,109
104,117,109,111
105,112,116,109
106,115,108,114
107,114,117,107
108,126,103,109
109,116,108,114
110,110,109,118
111,116,108,114
112,96,110,132
113,111,116,111
114,113,116,108
115,111,113,114
116,110,113,115
117,114,115,110
118,116,114,108
119,110,117,112
120,117,101,120
121,108,117,112
122,112,109,117
123,112,115,111
124,119,111,108
125,109,113,115
126,109,120,110
127,112,114,112
128,108,128,102
129,112,113,113
130,117,115,106
131,112,115,110
132,109,109,120
133,114,111,113
134,114,111,113
135,114,109,114
136,105,111,121
137,103,114,121
138,105,114,118
139,116,110,111
140,112,110,116
141,108,116,114
142,123,112,102
143,119,114,105
144,108,111,119
145,122,110,106
146,116,111,111
147,109,117,111
148,111,114,113
149,118,111,109
150,102,114,122
151,105,113,120
152,112,107,118
153,111,113,114
154,106,110,121
155,114,110,114
156,117,113,108
157,115,114,109
158,113,113,112
159,107,121,110
160,101,136,101
161,115,111,112
162,111,115,112
163,111,110,117
164,113,113,112
165,122,109,107
166,119,108,111
167,118,107,112
168,115,112,111
169,113,109,116
170,116,108,113
171,116,113,108
172,118,111,109
173,115,107,116
174,115,113,110
175,111,116,111
176,101,109,128
177,110,114,114
178,110,116,112
179,107,114,117
180,116,104,118
181,113,118,107
182,111,114,113
183,111,111,116
184,115,102,121
185,108,113,117
186,113,110,115
187,115,114,109
188,116,115,107
189,106,115,117
190,111,116,111
191,112,117,109
192,137,144,60
193,110,109,119
194,109,117,112
195,107,109,122
196,113,115,109
197,117,107,114
198,120,102,117
199,121,105,112
200,108,116,114
201,111,112,114
202,113,109,116
203,116,119,103
204,124,111,102
205,110,105,123
206,126,110,102
207,110,114,114
208,115,115,108
209,116,116,106
210,102,117,119
211,109,107,122
212,103,102,133
213,113,117,107
214,99,114,126
215,109,112,116
216,91,98,150
217,112,116,109
218,118,106,114
219,117,116,104
220,108,113,117
221,110,117,110
222,113,120,105
223,105,122,111
224,117,97,124
225,111,114,113
226,113,112,113
227,114,114,109
228,113,113,112
229,110,116,112
230,112,115,110
231,114,117,107
232,112,112,114
233,115,112,111
234,117,115,106
235,113,113,112
236,111,118,109
237,119,112,107
238,115,112,111
239,116,109,113
240,128,107,103
241,109,113,115
242,111,111,116
243,110,111,116
244,111,114,112
245,108,115,115
246,110,111,116
247,110,114,113
248,115,117,106
249,111,112,115
250,111,117,110
251,111,109,118
252,110,113,114
253,116,110,111
254,113,109,116
255,109,111,117
256,82,56,213
257,112,110,117
258,121,119,98
259,113,110,115
260,105,102,131
261,104,122,112
262,123,137,80
263,110,119,109
264,103,124,111
265,115,112,111
266,120,109,108
267,122,107,109
268,111,115,112
269,106,113,119
270,112,111,115
271,118,107,113
272,120,94,124
273,117,114,107
274,111,117,109
275,101,121,115
276,129,110,99
277,117,116,105
278,110,117,111
279,105,115,118
280,130,145,66
281,115,113,111
282,106,102,131
283,116,114,107
284,119,120,100
285,117,108,112
286,105,94,140
287,120,111,107
288,133,92,114
289,112,113,113
290,109,113,116
291,112,113,113
292,116,112,110
293,114,115,109
294,105,121,112
295,108,113,117
296,111,115,112
297,109,113,116
298,112,113,112
299,111,114,113
300,104,113,121
301,111,112,114
302,113,109,116
303,110,117,110
304,125,115,98
305,117,113,107
306,116,111,111
307,114,108,116
308,114,119,105
309,116,111,110
310,114,118,106
311,114,106,117
312,107,127,103
313,112,114,112
314,114,111,112
315,115,113,110
316,110,111,117
317,114,111,113
318,118,106,114
319,120,112,105
320,119,77,144
321,113,118,108
322,109,113,116
323,118,117,102
324,116,104,118
325,109,116,113
326,103,124,111
327,108,116,113
328,123,116,99
329,106,113,119
330,105,114,119
331,120,111,107
332,101,112,125
333,107,116,115
334,99,107,133
335,122,114,102
336,108,111,118
337,119,115,104
338,119,115,104
339,111,112,115
340,120,128,90
341,120,111,107
342,127,122,90
343,105,108,125
344,125,135,80
345,109,108,120
346,117,113,108
347,107,110,121
348,110,115,113
349,111,114,112
350,115,103,120
351,114,112,112
352,111,130,96
353,110,110,117
354,112,112,113
355,114,111,113
356,108,115,115
357,110,107,121
358,113,106,119
359,116,111,111
360,118,110,109
361,112,112,114
362,107,109,122
363,109,112,117
364,111,112,115
365,112,113,113
366,110,112,115
367,107,110,120
368,104,119,115
369,113,115,110
370,118,116,104
371,116,113,108
372,112,110,116
373,116,112,109
374,119,110,109
375,118,115,105
376,119,105,114
377,112,116,110
378,110,111,116
379,112,111,115
380,113,117,108
381,114,118,105
382,113,119,105
383,111,116,111
384,108,84,148
385,112,112,113
386,102,113,123
387,115,111,111
388,123,103,112
389,112,117,109
390,101,134,103
391,113,117,108
392,116,121,101
393,110,114,114
394,103,117,118
395,115,125,98
396,87,107,145
397,108,108,122
398,101,101,136
399,118,115,104
400,100,113,125
401,117,116,105
402,117,110,111
403,112,97,129
404,143,122,75
405,114,120,103
406,120,128,90
407,104,110,123
408,138,133,69
409,112,110,116
410,126,108,103
411,108,109,121
412,106,116,115
413,114,109,115
414,124,99,116
415,110,113,114
416,111,130,98
417,113,112,113
418,116,111,112
419,113,114,111
420,110,114,114
421,111,112,114
422,113,106,119
423,108,116,114
424,114,109,114
425,109,113,116
426,112,114,111
427,109,114,115
428,113,110,115
429,114,109,114
430,109,114,114
431,111,115,112
432,100,122,115
433,115,110,113
434,113,113,112
435,116,109,112
436,115,109,113
437,114,114,110
438,113,113,111
439,112,115,111
440,111,105,122
441,112,113,113
442,114,111,113
443,113,113,112
444,117,111,110
445,113,112,112
446,111,117,109
447,117,109,112
448,147,130,64
449,113,111,114
450,108,106,124
451,115,116,107
452,122,115,101
453,108,112,118
454,101,104,133
455,112,112,114
456,117,109,111
457,103,119,116
458,108,119,111
459,111,116,111
460,113,114,111
461,112,117,109
462,109,114,115
463,115,115,107
464,107,132,100
465,118,107,112
466,113,108,116
467,116,107,114
468,105,115,118
469,113,111,114
470,116,114,107
471,112,108,118
472,99,104,135
473,112,112,113
474,120,120,99
475,108,110,120
476,107,108,123
477,114,114,110
478,120,121,97
479,112,111,114
480,132,86,120
481,111,113,113
482,108,113,116
483,107,116,114
484,115,108,115
485,110,111,116
486,113,113,111
487,108,118,112
488,115,113,110
489,111,112,115
490,114,113,111
491,108,113,117
492,111,115,112
493,114,113,111
494,110,111,116
495,113,114,111
496,123,114,101
497,116,114,108
498,115,113,110
499,113,111,114
500,106,121,111
501,113,111,113
502,113,113,111
503,113,109,115
504,108,129,100
505,113,110,114
506,112,114,112
507,114,112,111
508,108,118,111
509,113,115,110
510,110,110,118
511,118,108,112
512,163,22,165
513,117,111,110
514,107,100,131
515,109,115,114
516,118,133,88
517,110,104,124
518,85,90,167
519,116,102,120
520,137,109,93
521,116,113,109
522,98,118,122
523,100,114,124
524,118,122,98
525,114,110,113
526,105,119,113
527,102,121,115
528,98,110,131
529,114,118,106
530,128,126,85
531,121,113,104
532,124,132,83
533,107,113,118
534,113,108,117
535,121,109,108
536,141,109,89
537,111,114,113
538,119,126,94
539,108,117,113
540,102,102,135
541,110,122,106
542,134,139,68
543,111,119,107
544,106,103,130
545,111,115,112
546,115,110,112
547,117,114,108
548,115,111,112
549,110,116,113
550,115,114,109
551,116,113,109
552,120,102,116
553,117,110,110
554,114,120,104
555,114,114,110
556,115,115,107
557,118,114,106
558,115,113,110
559,112,113,113
560,115,116,107
561,111,113,114
562,114,108,115
563,110,116,112
564,114,111,114
565,110,111,117
566,113,107,117
567,113,112,113
568,120,108,111
569,112,113,113
570,111,116,110
571,113,116,109
572,110,112,116
573,115,112,111
574,110,112,116
575,109,111,118
576,95,130,113
577,108,115,114
578,117,112,109
579,113,109,116
580,115,118,105
581,119,111,107
582,121,105,112
583,114,111,113
584,105,108,124
585,120,115,103
586,124,116,98
587,109,114,114
588,143,118,79
589,118,113,107
590,119,119,100
591,107,109,121
592,115,108,114
593,108,111,120
594,109,105,125
595,118,112,107
596,103,96,140
597,110,115,113
598,106,110,122
599,115,120,102
600,103,79,159
601,115,111,112
602,108,114,115
603,113,117,108
604,116,106,116
605,110,116,112
606,106,121,111
607,109,113,116
608,112,121,105
609,116,114,108
610,110,117,110
611,112,111,114
612,111,111,116
613,119,113,106
614,118,106,113
615,114,112,112
616,109,115,114
617,113,113,112
618,117,109,112
619,115,112,110
620,122,103,113
621,110,113,115
622,116,112,110
623,116,110,111
624,102,111,125
625,111,114,112
626,109,117,112
627,107,112,119
628,109,113,116
629,115,115,108
630,117,112,109
631,106,117,114
632,104,113,121
633,112,113,113
634,111,110,117
635,117,114,107
636,114,112,112
637,109,113,116
638,110,114,114
639,111,114,112
640,96,123,119
641,111,115,112
642,125,110,103
643,111,118,109
644,103,118,117
645,111,111,116
646,116,108,113
647,113,114,111
648,113,96,129
649,121,115,102
650,122,115,101
651,107,106,125
652,153,124,64
653,113,121,103
654,117,124,97
655,107,108,123
656,112,115,110
657,110,110,118
658,113,109,116
659,118,121,99
660,93,94,153
661,107,106,125
662,102,102,134
663,112,118,107
664,101,83,157
665,113,110,115
666,104,109,125
667,112,109,117
668,122,112,103
669,114,117,106
670,106,123,109
671,115,110,113
672,98,130,110
673,112,111,114
674,113,118,107
675,117,108,113
676,109,113,115
677,111,113,113
678,118,109,110
679,117,108,113
680,109,117,112
681,115,112,111
682,115,106,117
683,115,111,112
684,124,105,109
685,114,109,114
686,110,111,116
687,113,110,115
688,104,106,128
689,111,114,112
690,112,116,110
691,110,117,111
692,112,108,117
693,113,116,108
694,114,113,111
695,115,115,108
696,110,109,118
697,110,114,114
698,109,106,123
699,112,118,108
700,116,115,107
701,111,113,114
702,106,116,116
703,110,114,114
704,90,119,130
705,110,110,118
706,122,120,96
707,103,112,123
708,113,106,119
709,113,113,112
710,122,114,102
711,113,111,114
712,111,121,106
713,118,107,113
714,120,102,116
715,117,105,115
716,113,99,126
717,111,107,120
718,114,113,110
719,106,112,120
720,99,111,128
721,107,117,114
722,105,121,112
723,107,116,114
724,121,113,105
725,116,116,106
726,110,117,110
727,118,116,104
728,118,125,96
729,110,117,111
730,105,103,131
731,119,113,106
732,114,115,109
733,111,112,115
734,100,112,125
735,113,116,108
736,103,110,125
737,115,111,111
738,108,112,117
739,115,113,109
740,111,120,107
741,113,114,111
742,112,114,113
743,113,114,111
744,111,111,116
745,113,114,111
746,114,118,106
747,112,114,112
748,108,117,113
749,113,116,109
750,114,115,109
751,114,115,109
752,118,113,106
753,113,111,113
754,111,109,117
755,114,108,116
756,118,111,109
757,107,112,119
758,110,110,117
759,114,111,113
760,125,102,111
761,114,112,112
762,114,116,107
763,109,113,115
764,110,108,119
765,109,110,119
766,112,112,114
767,111,113,114
768,28,113,213
769,110,111,117
770,115,108,115
771,119,106,113
772,93,126,119
773,122,112,104
774,142,106,92
775,125,107,106
776,97,95,147
777,128,120,90
778,153,131,59
779,111,109,118
780,191,167,0
781,116,116,106
782,127,135,77
783,108,107,123
784,171,113,60
785,109,105,123
786,98,97,144
787,116,114,108
788,95,60,191
789,108,113,117
790,100,93,146
791,114,120,104
792,149,19,184
793,110,116,111
794,105,118,114
795,107,117,114
796,120,113,105
797,104,119,115
798,77,127,136
799,103,116,120
800,112,111,115
801,113,112,113
802,113,112,112
803,110,115,113
804,112,111,114
805,112,116,110
806,108,117,113
807,109,114,115
808,116,109,112
809,113,113,111
810,109,117,112
811,111,110,116
812,106,118,113
813,109,116,113
814,112,110,116
815,110,113,114
816,122,118,98
817,114,109,115
818,117,108,113
819,113,114,111
820,113,112,113
821,113,110,115
822,116,113,109
823,116,110,112
824,115,119,104
825,117,111,110
826,110,115,112
827,115,111,112
828,109,116,112
829,115,109,114
830,117,106,114
831,116,111,111
832,118,118,102
833,116,118,104
834,107,114,117
835,116,115,106
836,110,112,115
837,114,114,110
838,111,115,112
839,111,114,113
840,104,109,125
841,116,112,110
842,113,116,108
843,106,118,114
844,115,118,105
845,117,118,103
846,117,112,109
847,118,109,110
848,127,113,98
849,112,111,114
850,112,107,118
851,119,111,108
852,105,110,123
853,106,109,123
854,113,114,110
855,111,109,118
856,106,105,127
857,111,105,121
858,118,115,105
859,107,115,116
860,116,113,108
861,111,111,115
862,111,110,116
863,117,111,110
864,128,116,94
865,113,113,112
866,113,115,109
867,114,112,112
868,115,112,111
869,109,115,114
870,106,108,124
871,114,107,117
872,109,113,115
873,112,107,118
874,114,111,112
875,115,109,113
876,109,114,115
877,110,113,115
878,113,112,112
879,110,112,115
880,105,116,117
881,112,116,110
882,112,115,111
883,114,115,108
884,114,113,111
885,115,113,109
886,110,111,116
887,115,114,108
888,103,117,117
889,114,112,112
890,113,110,115
891,113,110,115
892,113,111,114
893,114,114,110
894,119,113,106
895,115,114,109
896,121,141,78
897,110,113,114
898,106,109,122
899,115,113,110
900,119,109,110
901,115,116,107
902,119,116,103
903,111,119,108
904,111,109,118
905,121,111,105
906,121,118,99
907,107,117,114
908,114,113,110
909,115,112,110
910,105,113,119
911,109,113,116
912,124,108,106
913,105,113,120
914,105,106,128
915,117,105,115
916,99,111,128
917,109,116,113
918,121,113,103
919,120,112,106
920,97,108,133
921,111,112,115
922,119,120,99
923,108,112,117
924,102,118,118
925,112,106,119
926,108,108,121
927,115,103,120
928,125,123,90
929,109,114,115
930,113,112,113
931,113,112,113
932,111,115,112
933,108,111,119
934,111,108,119
935,109,116,113
936,110,118,109
937,111,114,113
938,110,109,119
939,108,112,118
940,113,105,120
941,113,116,109
942,110,117,111
943,109,110,119
944,106,113,119
945,112,115,112
946,111,116,111
947,118,117,102
948,105,117,115
949,113,109,116
950,112,111,115
951,115,115,108
952,105,113,119
953,117,110,111
954,113,113,112
955,112,114,112
956,115,109,114
957,119,113,106
958,113,119,106
959,115,110,112
960,135,96,107
961,116,113,109
962,117,108,112
963,112,114,112
964,108,114,116
965,111,117,110
966,108,116,114
967,108,116,113
968,113,111,113
969,116,115,106
970,99,114,125
971,110,104,124
972,89,104,147
973,116,120,101
974,108,114,116
975,110,111,116
976,112,121,105
977,107,111,120
978,118,111,108
979,113,119,106
980,123,126,90
981,106,106,126
982,125,104,108
983,117,115,106
984,118,136,85
985,112,111,114
986,110,115,113
987,115,108,114
988,114,116,108
989,119,107,112
990,118,107,114
991,120,107,111
992,116,99,123
993,113,112,113
994,113,111,113
995,113,112,112
996,111,113,113
997,110,117,110
998,109,119,110
999,108,114,116
1000,117,107,114
1001,107,116,115
1002,111,117,110
1003,114,111,113
1004,105,116,117
1005,107,122,109
1006,113,113,112
1007,116,114,108
1008,118,119,101
1009,117,109,112
1010,114,111,112
1011,109,113,115
1012,117,119,102
1013,117,107,114
1014,112,111,115
1015,109,109,120
1016,116,118,104
1017,112,110,116
1018,113,115,110
1019,114,112,112
1020,110,111,117
1021,115,109,114
1022,118,106,113
1023,117,113,108
