,0 pi,2/3 pi,4/3 pi
0,997076.947736779,1143732.8598463512,1011161.8066077497
1,1055429.661154337,1028115.864417418,1062496.8758905174
2,960561.3275041694,1067101.7075864475,1124677.0672016586
3,1279275.036394192,865251.9288314314,1042353.9664187857
4,1105404.0464743082,957832.2347844611,1088720.403526449
5,850621.1899300257,1205395.4903818003,1122561.8961347137
6,697548.8462025796,1263717.615716253,1291632.5619433452
7,1022577.0951209642,1044631.472991349,1079299.1619053774
8,1034599.7378441043,1132468.8697821535,984086.9294965307
9,1061555.8330594501,1021487.7593951048,1063216.7997527013
10,1085530.459677146,1001806.6935127564,1060148.416725966
11,1064453.1908977886,1029743.1089876926,1051826.0502238476
12,1012858.3421208158,1062754.9472346348,1071059.8102923268
13,1021021.3774519166,1067748.381500644,1057533.7685451354
14,1057749.2171203436,1060881.4481895405,1027423.0076497117
15,1072569.2823667258,1039027.9748867812,1034542.5975971757
16,1497418.1512858127,1037500.9295064267,747262.9775793953
17,1100731.7335405336,1021441.7985803279,1025456.938453453
18,984967.0436232041,1075429.9259297783,1088357.3913465727
19,1079629.3570040904,1042512.4079170264,1024343.5006488528
20,1074438.117047234,1018151.1716678296,1053912.521741832
21,1047772.2790673026,1022378.4012906204,1076270.5395330612
22,947188.4633337753,1027365.4619412775,1185153.8337689755
23,987946.6382099747,1107523.4675581455,1053678.1786083723
24,1374701.257040152,981960.8707340093,858382.3903630435
25,1077633.218737905,1070367.8113579703,999503.777532969
26,1018896.723335549,1111056.789567197,1018486.5609428892
27,1059213.2298402316,976891.9849347259,1114175.7026972547
28,1079077.2201676932,999947.1410643322,1068462.9530794497
29,970195.5011459307,1141578.2519516416,1041027.2815131508
30,910747.8031939839,1209262.4723237269,1047017.0693983041
31,1047849.9484392633,1053723.036471489,1044177.1255840886
32,1783628.657988123,1329745.9040189914,462242.9658589955
33,964294.0511088793,1086916.918373609,1099854.4882387572
34,1038278.6580054683,1089826.9375479973,1018903.932561201
35,1050354.4727484072,1073273.6934622582,1022711.1415833553
36,1043837.5018372404,1014696.2001044125,1088512.5838293866
37,1018791.7743875461,1083125.2133718862,1044809.7953591846
38,1157059.9390336024,1052967.8429704816,946292.0423918429
39,1105605.8888579723,1011487.2059382733,1030988.3193542529
40,1167736.981581563,817203.9383514476,1204354.0056676858
41,1044818.9605214997,1043511.6626697995,1057453.9198025102
42,1078983.3699586783,1041852.4512204343,1025606.1277289588
43,977198.6931591186,1146962.8854601013,1028789.9296054408
44,1078179.2963744542,1013893.3080423588,1054664.3702242116
45,1112090.6930048894,997193.4833025108,1039662.6053240345
46,1118737.3403939337,980670.945537192,1050864.9559105858
47,1054215.235400966,1048731.396825141,1042812.3832090837
48,1623145.1606048273,391086.3396663989,1608302.6164380743
49,1028215.1668343168,1049824.328153069,1068068.0744440106
50,1161435.192913441,967988.6260581674,1025709.7461056641
51,858173.1921273281,1278452.5752426737,1051307.173452716
52,968030.1465987357,1212269.7499769574,983281.105184179
53,1286103.5325538372,892962.8132666524,1005743.3706635103
54,1418831.6177871209,913840.2081106529,896929.3340345521
55,1037787.3462873006,1063549.9320543013,1044560.821728386
56,939787.3500617913,1148075.3628057851,1068399.1266664802
57,1060982.4623514102,1068727.9355641864,1016767.0207098144
58,1071262.6805421454,1040895.9508959528,1033944.9678062045
59,1031103.1061428672,1027613.2623964765,1088111.895976984
60,1043730.2862001492,1118977.9723363386,987188.5137920921
61,1065136.8676833669,1021784.0394987266,1059335.3049485565
62,1068646.5485556247,1001282.8420827992,1077454.4358548727
63,1062263.379844185,1022976.810209393,1060962.7489327441
