Measurement Number,Phase offset: 0 pi,Phase offset: 2/3 pi,Phase offset: 4/3 pi
0,158,205,53
1,137,135,129
2,136,145,120
3,147,111,143
4,122,167,113
5,99,145,159
6,55,163,195
7,128,117,156
8,102,166,135
9,149,138,115
10,151,134,116
11,139,132,129
12,204,167,46
13,141,128,132
14,123,128,150
15,114,126,161
16,105,152,145
17,134,135,132
18,129,132,139
19,133,134,134
20,127,135,139
21,132,136,132
22,139,131,131
23,132,135,133
24,128,131,142
25,139,132,129
26,144,125,132
27,140,132,128
28,143,138,119
29,132,130,138
30,137,137,127
31,134,129,138
32,128,150,122
33,135,133,133
34,137,127,136
35,132,129,140
36,122,136,143
37,127,137,136
38,135,135,130
39,139,132,130
40,124,146,131
41,137,133,131
42,130,141,129
43,143,139,120
44,146,128,126
45,125,132,144
46,131,127,142
47,137,128,136
48,150,155,98
49,138,135,127
50,143,132,126
51,130,135,135
52,129,133,138
53,124,124,153
54,123,122,156
55,135,131,134
56,122,152,127
57,134,140,127
58,136,130,134
59,124,140,137
60,119,140,142
61,134,129,138
62,133,134,134
63,148,127,126
64,39,155,230
65,135,135,130
66,127,133,140
67,148,133,120
68,142,128,130
69,134,130,136
70,139,131,131
71,118,146,137
72,128,120,153
73,141,132,127
74,148,117,136
75,136,134,130
76,155,137,110
77,136,133,132
78,153,132,116
79,128,127,146
80,124,104,176
81,130,138,132
82,131,126,143
83,132,145,123
84,150,137,115
85,137,138,126
86,131,153,116
87,130,135,136
88,140,117,144
89,137,127,136
90,145,132,124
91,140,132,129
92,162,125,115
93,130,133,137
94,133,138,129
95,123,135,142
96,122,124,156
97,122,141,138
98,144,114,144
99,134,150,117
100,142,147,112
101,135,148,118
102,130,163,110
103,134,126,141
104,131,131,139
105,134,124,142
106,145,131,124
107,141,147,113
108,174,110,119
109,138,124,139
110,122,129,150
111,130,123,147
112,178,123,102
113,133,131,136
114,134,134,132
115,130,130,139
116,145,126,130
117,138,133,129
118,132,142,127
119,138,134,128
120,142,147,112
121,131,132,137
122,125,137,139
123,126,133,142
124,122,122,157
125,133,134,133
126,133,129,138
127,137,142,122
128,98,72,255
129,133,127,141
130,132,148,121
131,112,140,149
132,143,138,120
133,136,137,127
134,150,131,120
135,137,132,132
136,130,152,119
137,142,131,127
138,170,122,111
139,126,138,137
140,183,79,146
141,135,129,136
142,118,131,152
143,152,152,99
144,109,161,131
145,131,134,136
146,136,135,129
147,134,130,137
148,126,125,150
149,142,131,127
150,163,113,126
151,139,139,123
152,132,134,135
153,128,133,139
154,126,131,143
155,134,133,134
156,109,131,163
157,134,135,131
158,138,129,133
159,139,141,121
160,102,179,124
161,136,126,139
162,131,136,133
163,129,133,139
164,124,121,156
165,140,134,126
166,160,117,125
167,137,143,120
168,142,129,130
169,137,124,139
170,123,124,154
171,127,138,136
172,116,117,169
173,128,141,131
174,141,135,125
175,144,138,120
176,142,167,95
177,139,129,132
178,135,132,133
179,138,132,130
180,122,140,138
181,133,122,146
182,130,121,150
183,131,132,137
184,112,152,138
185,131,138,131
186,128,126,147
187,140,133,127
188,126,142,133
189,133,134,133
190,135,133,132
191,133,138,129
192,0,223,219
193,139,135,126
194,127,156,119
195,136,133,132
196,159,100,144
197,173,102,129
198,222,82,110
199,133,152,116
200,188,94,124
201,122,129,150
202,116,105,184
203,127,125,148
204,79,91,254
205,126,145,129
206,142,149,111
207,145,155,103
208,130,130,140
209,129,137,135
210,134,136,130
211,133,136,131
212,137,130,133
213,136,140,124
214,134,146,121
215,135,133,132
216,149,114,138
217,136,127,137
218,134,137,130
219,132,132,136
220,135,130,136
221,137,134,130
222,134,132,134
223,125,134,142
224,133,155,113
225,129,139,132
226,144,127,130
227,141,136,124
228,133,133,134
229,138,136,127
230,126,141,133
231,137,128,135
232,149,116,136
233,134,129,137
234,126,140,134
235,136,132,132
236,129,145,126
237,136,140,125
238,124,141,136
239,127,123,151
240,173,111,119
241,136,125,139
242,127,135,139
243,135,135,130
244,132,138,131
245,128,142,131
246,120,146,135
247,134,131,135
248,139,138,124
249,134,134,132
250,136,139,125
251,132,131,137
252,139,135,126
253,137,137,127
254,138,130,133
255,129,132,140
